Name,SACFOR_kel,SACFOR_veg,Elev(m),Slope(°),Rugosity,kel #,veg #,veg #corr,X,Y
Bare1,R,R,-0.5,,,0,0,0,352585.7,4709238.7
Bare2,R,R,-0.5,,,0,0,0,352629.3,4709240.6
Bare3,R,R,-0.5,,,0,0,0,352584.8,4709238.7
Bare4,R,R,-0.5,,,0,0,0,352584.8,4709240.6
Bare5,R,R,-0.5,,,0,0,0,352576.8,4709238.7
Bare6,R,R,-0.5,,,0,0,0,352621.6,4709340.6
Bare7,R,R,-0.5,,,0,0,0,352614.2,4709340.9
Bare8,R,R,-0.5,,,0,0,0,352658.9,4709342.3
Bare9,R,R,-0.5,,,0,0,0,352628.1,4709347.9
Bare10,R,R,-0.5,,,0,0,0,352643.3,4709340.9
Bare11,R,R,-0.5,,,0,0,0,352620.7,4709341.2
Bare12,R,R,-0.5,,,0,0,0,352671,4709516.9
Bare13,R,R,-0.5,,,0,0,0,352675.5,4709507.9
Bare14,R,R,-0.5,,,0,0,0,352676.3,4709503.7
Bare15,R,R,-0.5,,,0,0,0,352668.2,4709517.6
Bare16,R,R,-0.5,,,0,0,0,352701.8,4709513.9
Bare17,R,R,-0.5,,,0,0,0,352700.9,4709524.5
Bare18,R,R,-0.5,,,0,0,0,352701.2,4709526.5
Bare19,R,R,-0.5,,,0,0,0,352701.9,4709529.3
Bare20,R,R,-0.5,,,0,0,0,352701.5,4709532.5
Bare21,R,R,-0.5,,,0,0,0,352701.7,4709533.4
Bare22,R,R,-0.5,,,0,0,0,352663.5,4709511.9
Bare23,R,R,-0.5,,,0,0,0,352669.1,4709475.8
Bare24,R,R,-0.5,,,0,0,0,352672.8,4709471.8
Bare25,R,R,-0.5,,,0,0,0,352735.4,4709464.4
Bare26,R,R,-0.5,,,0,0,0,352761.4,4709411.5
Bare27,R,R,-0.5,,,0,0,0,352764.8,4709400.6
Bare28,R,R,-0.5,,,0,0,0,352763.3,4709407.7
Bare29,R,R,-0.5,,,0,0,0,352760,4709414.1
Bare30,R,R,-0.5,,,0,0,0,352737.6,4709457.6
Bare31,R,R,-0.5,,,0,0,0,352702.8,4709526.2
Bare32,R,R,-0.5,,,0,0,0,352678.9666,4709449.224
Bare33,R,R,-0.5,,,0,0,0,352673.0822,4709458.434
Bare34,R,R,-0.5,,,0,0,0,352681.7808,4709446.666
Bare35,R,R,-0.5,,,0,0,0,352669.5004,4709460.993
Bare36,R,R,-0.5,,,0,0,0,352704.8065,4709402.661
Bare37,R,R,-0.5,,,0,0,0,352711.4584,4709394.474
Bare38,R,R,-0.5,,,0,0,0,352716.0635,4709389.869
Bare39,R,R,-0.5,,,0,0,0,352687.921,4709441.037
Bare40,R,R,-0.5,,,0,0,0,352684.8509,4709425.175
Bare41,R,R,-0.5,,,0,0,0,352696.2086,4709426.383
Bare42,R,R,-0.5,,,0,0,0,352680.1032,4709449.535
Bare43,R,R,-0.5,,,0,0,0,352687.1493,4709434.939
Bare44,R,R,-0.5,,,0,0,0,352678.5933,4709415.814
Bare45,R,R,-0.5,,,0,0,0,352667.5208,4709497.851
Bare46,R,R,-0.5,,,0,0,0,352676.0768,4709495.838
Bare47,R,R,-0.5,,,0,0,0,352792.3377,4709489.798
Bare48,R,R,-0.5,,,0,0,0,352749.0544,4709533.081
Bare49,R,R,-0.5,,,0,0,0,352754.5907,4709502.38
Bare50,R,R,-0.5,,,0,0,0,352674.5669,4709435.442
Bare51,R,R,-0.5,,,0,0,0,352690.169,4709425.376
Bare52,R,R,-0.5,,,0,0,0,352704.2613,4709511.44
Bare53,R,R,-0.5,,,0,0,0,352709.7975,4709472.686
Bare54,R,R,-0.5,,,0,0,0,352751.0676,4709429.906
Bare55,R,R,-0.5,,,0,0,0,352722.3799,4709473.693
Bare56,R,R,-0.5,,,0,0,0,352764.6566,4709394.676
Bare57,R,R,-0.5,,,0,0,0,352764.153,4709400.212
Bare58,R,R,-0.5,,,0,0,0,352716.3403,4709388.133
Bare59,R,R,-0.5,,,0,0,0,352661.9846,4709505.904
Bare60,R,R,-0.5,,,0,0,0,352712.1252,4709496.341
Bare61,R,R,-0.5,,,0,0,0,352708.728,4709503.639
Bare62,R,R,-0.5,,,0,0,0,352728.7684,4709469.101
Bare63,R,R,-0.5,,,0,0,0,352728.9606,4709689.697
