,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,10,2022-07-08_142542_MDCNGB2,1,1,-4.2627587,True,0
1,4,2022-07-08_142442_MDCNGB2,1,0,-3.7317543,False,1
2,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
3,218,2022-08-04_151739_MDCNGB1,0,1,-4.2149124,False,-1
4,397,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
5,283,2022-08-24_145401_MDCNGB1,0,0,-2.9368334,True,0
6,387,2022-08-30_151804_MDCBGB9,1,0,-3.8681357,False,1
7,394,2022-08-30_160336_MDCBGB12,1,0,-3.2858462,False,1
8,193,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
9,11,2022-07-08_142552_MDCNGB2,1,1,-4.315238,True,0
10,94,2022-07-08_145650_MDCNGB6,0,0,-3.1896365,True,0
11,79,2022-07-08_144354_MDCNGB4,1,1,-4.318448,True,0
12,233,2022-08-04_152245_MDCNGB2,1,1,-4.308,True,0
13,116,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
14,45,2022-07-08_143459_MDCNGB3,0,1,-5.3848386,False,-1
15,371,2022-08-30_151512_MDCBGB8,0,1,-3.5304818,False,-1
16,374,2022-08-30_151542_MDCBGB8,0,1,-3.7061038,False,-1
17,249,2022-08-04_153203_MDCNGB3,0,1,-4.64,False,-1
18,343,2022-08-30_144736_MDCBGB3,0,1,-4.0528226,False,-1
19,399,2022-08-30_160426_MDCBGB12,0,1,-3.4614062,False,-1
20,146,2022-07-26_175928_MDCBGB5,1,1,-4.5149207,True,0
21,102,2022-07-08_145840_MDCNGB6,1,1,-4.251091,True,0
22,362,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
23,96,2022-07-08_145710_MDCNGB6,1,0,-3.8341668,False,1
24,108,2022-07-08_145940_MDCNGB6,0,1,-4.779643,False,-1
25,234,2022-08-04_152255_MDCNGB2,1,1,-4.165,True,0
26,373,2022-08-30_151532_MDCBGB8,0,1,-3.5140207,False,-1
27,221,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
28,169,2022-07-26_180530_MDCBGB6,0,0,-4.7145452,True,0
29,370,2022-08-30_151458_MDCBGB8,0,1,-3.46056,False,-1
30,282,2022-08-24_145351_MDCNGB1,0,0,-2.9848387,True,0
31,266,2022-08-04_154306_MDCNGB4,1,1,-5.577778,True,0
32,207,2022-07-27_154758_MDCNGB5,0,0,-2.9955225,True,0
33,166,2022-07-26_180500_MDCBGB6,1,0,-4.435745,False,1
34,328,2022-08-30_143643_MDCBGB1,0,1,-3.3937705,False,-1
35,236,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
36,473,2022-09-01_145131_MDCNGB4,0,0,-2.7768853,True,0
37,482,2022-09-01_145737_MDCNGB5,0,0,-2.8822727,True,0
38,269,2022-08-04_154336_MDCNGB4,1,1,-5.6149254,True,0
39,262,2022-08-04_154226_MDCNGB4,1,1,-5.593485,True,0
40,348,2022-08-30_144826_MDCBGB3,1,1,-3.6198611,True,0
41,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
42,483,2022-09-01_145747_MDCNGB5,0,0,-2.7848437,True,0
43,58,2022-07-08_144024_MDCNGB4,0,1,-3.6035714,False,-1
44,2,2022-07-08_142422_MDCNGB2,1,1,-3.3533332,True,0
45,390,2022-08-30_151834_MDCBGB9,0,0,-3.8391228,True,0
46,124,2022-07-26_174959_MDCBGB3,0,1,-4.2673016,False,-1
47,232,2022-08-04_152235_MDCNGB2,1,1,-4.309608,True,0
48,358,2022-08-30_145206_MDCBGB4,0,0,-3.7527273,True,0
49,86,2022-07-08_144932_MDCNGB5,1,1,-5.166719,True,0
50,201,2022-07-27_154646_MDCNGB5,0,0,-3.4439344,True,0
51,90,2022-07-08_145612_MDCNGB6,1,0,-3.0355556,False,1
52,56,2022-07-08_144004_MDCNGB4,0,0,-3.6089063,True,0
53,40,2022-07-08_143409_MDCNGB3,1,1,-5.0019298,True,0
54,357,2022-08-30_145156_MDCBGB4,0,1,-3.9533963,False,-1
55,235,2022-08-04_152305_MDCNGB2,0,1,-4.1359615,False,-1
56,152,2022-07-26_180028_MDCBGB5,1,1,-4.787846,True,0
57,126,2022-07-26_175019_MDCBGB3,1,1,-4.2328844,True,0
58,22,2022-07-08_143109_MDCNGB3,0,0,-2.954557,True,0
59,150,2022-07-26_180008_MDCBGB5,1,1,-4.685424,True,0
60,346,2022-08-30_144806_MDCBGB3,1,0,-3.7037663,False,1
61,292,2022-08-24_145736_MDCNGB2,0,0,-3.7266667,True,0
62,385,2022-08-30_151744_MDCBGB9,1,0,-3.518923,False,1
63,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
64,78,2022-07-08_144344_MDCNGB4,1,1,-4.2417545,True,0
