,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,398,2022-08-30_160416_MDCBGB12,0,1,-3.4666667,False,-1
1,23,2022-07-08_143119_MDCNGB3,0,1,-3.1981537,False,-1
2,57,2022-07-08_144014_MDCNGB4,0,1,-3.56625,False,-1
3,485,2022-09-01_145815_MDCNGB6,0,0,-2.6977613,True,0
4,487,2022-09-01_145835_MDCNGB6,0,0,-2.8991935,True,0
5,189,2022-07-27_154121_MDCNGB4,0,0,-2.687742,True,0
6,489,2022-09-01_145855_MDCNGB6,0,0,-3.189403,True,0
7,279,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
8,7,2022-07-08_142512_MDCNGB2,0,1,-3.883617,False,-1
9,344,2022-08-30_144746_MDCBGB3,1,1,-3.6071305,True,0
10,298,2022-08-24_145836_MDCNGB2,1,0,-3.978889,False,1
11,297,2022-08-24_145826_MDCNGB2,0,0,-3.9804838,True,0
12,378,2022-08-30_151622_MDCBGB8,1,1,-3.6920834,True,0
13,175,2022-07-27_153708_MDCNGB3,0,0,-2.6023943,True,0
14,6,2022-07-08_142502_MDCNGB2,1,1,-3.8255556,True,0
15,70,2022-07-08_144224_MDCNGB4,0,0,-3.1104918,True,0
16,387,2022-08-30_151804_MDCBGB9,1,1,-3.8681357,True,0
17,240,2022-08-04_152355_MDCNGB2,0,1,-3.7739623,False,-1
18,224,2022-08-04_151839_MDCNGB1,1,1,-3.8047059,True,0
19,434,2022-08-31_145816_MDCSGB7,0,0,-2.5182352,True,0
20,181,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
21,396,2022-08-30_160356_MDCBGB12,1,1,-3.4736364,True,0
22,464,2022-09-01_144524_MDCNGB2,0,0,-3.408644,True,0
23,338,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
24,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
25,90,2022-07-08_145612_MDCNGB6,1,0,-3.0355556,False,1
26,174,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
27,356,2022-08-30_145146_MDCBGB4,0,1,-3.9464705,False,-1
28,340,2022-08-30_144103_MDCBGB2,0,1,-3.6547542,False,-1
29,400,2022-08-30_160436_MDCBGB12,0,1,-3.439077,False,-1
30,372,2022-08-30_151522_MDCBGB8,0,0,-3.1068518,True,0
31,435,2022-08-31_145826_MDCSGB7,0,0,-2.4580953,True,0
32,370,2022-08-30_151458_MDCBGB8,0,0,-3.46056,True,0
33,352,2022-08-30_144906_MDCBGB3,1,1,-3.4704616,True,0
34,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
35,360,2022-08-30_145226_MDCBGB4,0,0,-3.758,True,0
36,116,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
37,214,2022-07-27_164948_MDCSGB3,1,0,-2.988125,False,1
38,24,2022-07-08_143129_MDCNGB3,0,1,-3.404697,False,-1
39,190,2022-07-27_154131_MDCNGB4,0,0,-2.6734426,True,0
40,132,2022-07-26_175512_MDCBGB4,0,1,-3.013182,False,-1
41,185,2022-07-27_154041_MDCNGB4,0,0,-2.6940677,True,0
42,486,2022-09-01_145825_MDCNGB6,0,0,-2.7669842,True,0
43,379,2022-08-30_151632_MDCBGB8,1,1,-3.6961193,True,0
44,193,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
45,349,2022-08-30_144836_MDCBGB3,1,1,-3.6153085,True,0
46,332,2022-08-30_143933_MDCBGB2,0,1,-3.0720313,False,-1
47,61,2022-07-08_144054_MDCNGB4,1,0,-3.418644,False,1
48,22,2022-07-08_143109_MDCNGB3,0,1,-2.954557,False,-1
49,417,2022-08-31_145308_MDCSGB4,0,0,-2.7838094,True,0
50,427,2022-08-31_145659_MDCSGB6,0,0,-2.730893,True,0
