,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,94,2022-07-08_145650_MDCNGB6,0,1,-3.1896365,False,-1
1,371,2022-08-30_151512_MDCBGB8,0,1,-3.5304818,False,-1
2,399,2022-08-30_160426_MDCBGB12,0,0,-3.4614062,True,0
3,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
4,229,2022-08-04_151929_MDCNGB1,0,0,-3.6552632,True,0
5,345,2022-08-30_144756_MDCBGB3,1,1,-3.7512658,True,0
6,362,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
7,486,2022-09-01_145825_MDCNGB6,0,0,-2.7669842,True,0
8,344,2022-08-30_144746_MDCBGB3,1,1,-3.6071305,True,0
9,143,2022-07-26_175702_MDCBGB4,1,1,-3.3280883,True,0
10,346,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
11,2,2022-07-08_142422_MDCNGB2,1,0,-3.3533332,False,1
12,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
13,397,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
14,289,2022-08-24_145706_MDCNGB2,0,0,-3.579672,True,0
15,460,2022-09-01_144337_MDCNGB1,0,0,-2.9691525,True,0
16,403,2022-08-30_160506_MDCBGB12,0,1,-3.8742857,False,-1
17,49,2022-07-08_143854_MDCNGB4,0,0,-2.7058442,True,0
18,369,2022-08-30_151448_MDCBGB8,0,1,-3.3519404,False,-1
19,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
20,245,2022-08-04_152445_MDCNGB2,1,0,-3.7361016,False,1
21,384,2022-08-30_151734_MDCBGB9,0,1,-3.5925806,False,-1
22,225,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
23,24,2022-07-08_143129_MDCNGB3,0,1,-3.404697,False,-1
24,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
25,1,2022-07-08_142412_MDCNGB2,0,0,-3.122909,True,0
26,221,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
27,236,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
28,93,2022-07-08_145640_MDCNGB6,0,0,-3.085625,True,0
29,200,2022-07-27_154636_MDCNGB5,0,0,-3.4757142,True,0
30,464,2022-09-01_144524_MDCNGB2,0,0,-3.408644,True,0
31,479,2022-09-01_145707_MDCNGB5,0,0,-3.1565573,True,0
32,395,2022-08-30_160346_MDCBGB12,1,1,-3.3367648,True,0
33,295,2022-08-24_145806_MDCNGB2,0,0,-3.774,True,0
34,360,2022-08-30_145226_MDCBGB4,0,0,-3.758,True,0
35,339,2022-08-30_144053_MDCBGB2,0,0,-3.2711864,True,0
36,294,2022-08-24_145756_MDCNGB2,0,0,-3.7568853,True,0
37,63,2022-07-08_144114_MDCNGB4,0,0,-3.270164,True,0
38,115,2022-07-26_174250_MDCBGB1,1,1,-3.8771698,True,0
39,5,2022-07-08_142452_MDCNGB2,1,1,-3.818868,True,0
40,69,2022-07-08_144214_MDCNGB4,0,0,-3.0549254,True,0
41,375,2022-08-30_151552_MDCBGB8,1,1,-3.7164445,True,0
