,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,353,2022-07-27_154041_MDCNGB4,0,0,-2.6940677,True,0
1,443,2022-08-04_152405_MDCNGB2,0,0,-3.7991836,True,0
2,669,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
3,435,2022-08-04_152245_MDCNGB2,0,0,-4.308,True,0
4,698,2022-08-30_145146_MDCBGB4,0,0,-3.9464705,True,0
5,2,2022-07-08_142422_MDCNGB2,1,0,-3.3533332,False,1
6,682,2022-08-30_144103_MDCBGB2,0,0,-3.6547542,True,0
7,761,2022-08-30_151632_MDCBGB8,2,0,-3.6961193,False,2
8,467,2022-08-04_154256_MDCNGB4,1,1,-5.57,True,0
9,94,2022-07-08_145650_MDCNGB6,0,0,-3.1896365,True,0
10,418,2022-07-27_165008_MDCSGB3,0,0,-2.9764285,True,0
11,308,2022-07-26_180520_MDCBGB6,0,0,-4.6736584,True,0
12,858,2022-08-31_145649_MDCSGB6,0,0,-2.7726786,True,0
13,786,2022-08-30_160336_MDCBGB12,0,0,-3.2858462,True,0
14,41,2022-07-08_143419_MDCNGB3,0,0,-5.118889,True,0
15,303,2022-07-26_180430_MDCBGB6,0,1,-4.269434,False,-1
16,483,2022-08-24_145341_MDCNGB1,0,0,-3.0293102,True,0
17,297,2022-07-26_180330_MDCBGB6,1,1,-3.9887097,True,0
18,110,2022-07-08_150000_MDCNGB6,0,0,-4.888163,True,0
19,298,2022-07-26_180340_MDCBGB6,1,0,-4.029394,False,1
20,923,2022-09-01_145707_MDCNGB5,0,0,-3.1565573,True,0
21,362,2022-07-27_154218_MDCNGB4,0,0,-2.6631343,True,0
22,349,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
23,681,2022-08-30_144053_MDCBGB2,0,0,-3.2711864,True,0
24,680,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
25,749,2022-08-30_151428_MDCBGB8,0,0,-3.3012328,True,0
26,773,2022-08-30_151844_MDCBGB9,0,0,-3.904375,True,0
27,471,2022-08-04_154336_MDCNGB4,1,1,-5.6149254,True,0
28,702,2022-08-30_145226_MDCBGB4,0,0,-3.758,True,0
29,882,2022-08-31_150638_MDCSGB11,0,0,-4.241017,True,0
30,286,2022-07-26_175928_MDCBGB5,2,2,-4.5149207,True,0
31,78,2022-07-08_144344_MDCNGB4,0,1,-4.2417545,False,-1
32,706,2022-08-30_145306_MDCBGB4,0,0,-3.8478947,True,0
33,83,2022-07-08_144902_MDCNGB5,2,1,-4.880517,False,1
34,484,2022-08-24_145351_MDCNGB1,0,0,-2.9848387,True,0
35,791,2022-08-30_160426_MDCBGB12,0,0,-3.4614062,True,0
36,699,2022-08-30_145156_MDCBGB4,0,0,-3.9533963,True,0
37,295,2022-07-26_180058_MDCBGB5,0,0,-5.003768,True,0
38,269,2022-07-26_175049_MDCBGB3,2,0,-4.4368253,False,2
39,855,2022-08-31_145421_MDCSGB5,0,0,-2.296613,True,0
40,55,2022-07-08_143954_MDCNGB4,0,0,-3.4301667,True,0
41,497,2022-08-24_145806_MDCNGB2,0,0,-3.774,True,0
42,867,2022-08-31_145826_MDCSGB7,0,0,-2.4580953,True,0
43,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
44,433,2022-08-04_152225_MDCNGB2,1,1,-4.3572726,True,0
45,674,2022-08-30_143933_MDCBGB2,0,0,-3.0720313,True,0
46,305,2022-07-26_180450_MDCBGB6,0,0,-4.412083,True,0
47,860,2022-08-31_145709_MDCSGB6,0,0,-2.7039654,True,0
48,108,2022-07-08_145940_MDCNGB6,0,0,-4.779643,True,0
