,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,436,2022-08-04_152255_MDCNGB2,1,0,63.130123,False,1
1,369,2022-07-27_154646_MDCNGB5,0,0,78.58009,True,0
2,60,2022-07-08_144044_MDCNGB4,0,0,81.62478,True,0
3,362,2022-07-27_154218_MDCNGB4,0,0,85.81244,True,0
4,683,2022-08-30_144113_MDCBGB2,0,1,79.83652,False,-1
5,46,2022-07-08_143509_MDCNGB3,1,1,66.831604,True,0
6,290,2022-07-26_180008_MDCBGB5,2,2,84.42312,True,0
7,255,2022-07-26_174250_MDCBGB1,1,0,79.79152,False,1
8,111,2022-07-08_150010_MDCNGB6,0,1,81.86823,False,-1
9,77,2022-07-08_144334_MDCNGB4,1,0,85.16743,False,1
10,365,2022-07-27_154606_MDCNGB5,0,0,80.66823,True,0
11,82,2022-07-08_144852_MDCNGB5,1,2,76.138084,False,-1
12,287,2022-07-26_175938_MDCBGB5,2,1,82.95136,False,1
13,93,2022-07-08_145640_MDCNGB6,0,0,87.95614,True,0
14,916,2022-09-01_145124_MDCNGB3,0,0,75.826546,True,0
15,793,2022-08-30_160446_MDCBGB12,0,0,76.795334,True,0
16,83,2022-07-08_144902_MDCNGB5,2,1,80.55671,False,1
17,695,2022-08-30_144936_MDCBGB3,0,0,69.14152,True,0
18,52,2022-07-08_143924_MDCNGB4,0,0,84.0036,True,0
19,768,2022-08-30_151754_MDCBGB9,0,0,83.94127,True,0
20,94,2022-07-08_145650_MDCNGB6,0,0,86.76126,True,0
21,256,2022-07-26_174300_MDCBGB1,1,0,84.586655,False,1
22,367,2022-07-27_154626_MDCNGB5,0,0,29.72786,True,0
23,254,2022-07-26_174240_MDCBGB1,1,0,16.022766,False,1
24,930,2022-09-01_145825_MDCNGB6,0,0,59.630257,True,0
25,705,2022-08-30_145256_MDCBGB4,0,0,78.518684,True,0
26,687,2022-08-30_144756_MDCBGB3,1,0,84.567406,False,1
27,902,2022-09-01_144317_MDCNGB1,0,0,70.082214,True,0
28,675,2022-08-30_143943_MDCBGB2,0,0,85.24222,True,0
29,113,2022-07-08_150030_MDCNGB6,0,1,83.03178,False,-1
30,480,2022-08-24_145311_MDCNGB1,0,0,79.46331,True,0
31,89,2022-07-08_145610_MDCNGB6,0,0,76.80499,True,0
32,96,2022-07-08_145710_MDCNGB6,1,0,54.258514,False,1
33,795,2022-08-30_160506_MDCBGB12,0,0,71.091484,True,0
34,14,2022-07-08_142622_MDCNGB2,1,1,88.27344,True,0
35,423,2022-08-04_151809_MDCNGB1,1,0,62.615627,False,1
36,525,2022-08-24_151016_MDCNGB4,0,0,86.56354,True,0
37,371,2022-07-27_154706_MDCNGB5,0,0,60.095875,True,0
38,101,2022-07-08_145830_MDCNGB6,0,0,49.590736,True,0
39,907,2022-09-01_144514_MDCNGB2,0,0,46.633297,True,0
40,794,2022-08-30_160456_MDCBGB12,0,0,79.4595,True,0
41,80,2022-07-08_144832_MDCNGB5,2,2,87.615685,True,0
42,74,2022-07-08_144304_MDCNGB4,1,0,74.78395,False,1
43,766,2022-08-30_151734_MDCBGB9,0,1,79.11477,False,-1
44,452,2022-08-04_153213_MDCNGB3,0,0,85.58918,True,0
45,66,2022-07-08_144144_MDCNGB4,0,0,64.84005,True,0
46,754,2022-08-30_151522_MDCBGB8,0,0,69.24935,True,0
47,493,2022-08-24_145726_MDCNGB2,0,0,75.44693,True,0
48,681,2022-08-30_144053_MDCBGB2,0,0,62.028107,True,0
49,763,2022-08-30_151704_MDCBGB9,2,0,79.88035,False,2
50,108,2022-07-08_145940_MDCNGB6,0,0,86.18359,True,0
51,473,2022-08-04_154356_MDCNGB4,1,1,71.01005,True,0
52,104,2022-07-08_145900_MDCNGB6,0,0,86.86742,True,0
53,920,2022-09-01_145201_MDCNGB4,0,0,76.07714,True,0
54,917,2022-09-01_145131_MDCNGB4,0,0,62.933716,True,0
55,767,2022-08-30_151744_MDCBGB9,0,0,83.91916,True,0
56,671,2022-08-30_143653_MDCBGB1,0,0,73.33391,True,0
57,363,2022-07-27_154228_MDCNGB4,0,0,87.142685,True,0
58,439,2022-08-04_152325_MDCNGB2,0,0,77.48828,True,0
59,422,2022-08-04_151759_MDCNGB1,0,0,78.03121,True,0
60,308,2022-07-26_180520_MDCBGB6,0,0,77.86931,True,0
61,23,2022-07-08_143119_MDCNGB3,0,0,84.18768,True,0
62,760,2022-08-30_151622_MDCBGB8,2,0,88.36209,False,2
63,698,2022-08-30_145146_MDCBGB4,0,0,86.77106,True,0
64,929,2022-09-01_145815_MDCNGB6,0,0,86.13017,True,0
65,285,2022-07-26_175917_MDCBGB5,2,2,78.931694,True,0
66,915,2022-09-01_145111_MDCNGB3,0,0,73.697235,True,0
