,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,66,2022-07-08_144144_MDCNGB4,0,0,,True,0
1,62,2022-07-08_144104_MDCNGB4,0,1,,False,-1
2,345,2022-08-30_144756_MDCBGB3,1,1,,True,0
3,375,2022-08-30_151552_MDCBGB8,0,2,,False,-2
4,465,2022-09-01_144534_MDCNGB2,0,0,,True,0
5,473,2022-09-01_145131_MDCNGB4,0,0,,True,0
6,214,2022-07-27_164948_MDCSGB3,0,0,,True,0
7,246,2022-08-04_152455_MDCNGB2,0,0,,True,0
8,116,2022-07-26_174300_MDCBGB1,1,1,,True,0
9,327,2022-08-30_143633_MDCBGB1,0,0,,True,0
10,398,2022-08-30_160416_MDCBGB12,0,1,,False,-1
11,140,2022-07-26_175632_MDCBGB4,0,2,,False,-2
12,384,2022-08-30_151734_MDCBGB9,0,1,,False,-1
13,197,2022-07-27_154606_MDCNGB5,0,0,,True,0
14,382,2022-08-30_151714_MDCBGB9,0,1,,False,-1
15,460,2022-09-01_144337_MDCNGB1,0,0,,True,0
16,341,2022-08-30_144113_MDCBGB2,0,1,,False,-1
17,89,2022-07-08_145610_MDCNGB6,0,2,,False,-2
18,399,2022-08-30_160426_MDCBGB12,0,1,,False,-1
19,236,2022-08-04_152315_MDCNGB2,0,1,,False,-1
20,474,2022-09-01_145141_MDCNGB4,0,0,,True,0
21,300,2022-08-24_150336_MDCNGB3,0,0,,True,0
22,96,2022-07-08_145710_MDCNGB6,1,1,,True,0
23,357,2022-08-30_145156_MDCBGB4,0,1,,False,-1
24,377,2022-08-30_151612_MDCBGB8,1,2,,False,-1
25,64,2022-07-08_144124_MDCNGB4,0,0,,True,0
26,425,2022-08-31_145441_MDCSGB5,0,0,,True,0
27,293,2022-08-24_145746_MDCNGB2,0,0,,True,0
28,174,2022-07-27_153658_MDCNGB3,0,0,,True,0
29,402,2022-08-30_160456_MDCBGB12,0,1,,False,-1
30,472,2022-09-01_145124_MDCNGB3,0,0,,True,0
31,223,2022-08-04_151829_MDCNGB1,0,1,,False,-1
32,287,2022-08-24_145441_MDCNGB1,0,0,,True,0
33,228,2022-08-04_151919_MDCNGB1,0,1,,False,-1
34,115,2022-07-26_174250_MDCBGB1,1,1,,True,0
35,58,2022-07-08_144024_MDCNGB4,0,2,,False,-2
36,436,2022-08-31_145836_MDCSGB7,0,0,,True,0
37,400,2022-08-30_160436_MDCBGB12,0,1,,False,-1
38,351,2022-08-30_144856_MDCBGB3,2,2,,True,0
39,68,2022-07-08_144204_MDCNGB4,0,2,,False,-2
40,417,2022-08-31_145308_MDCSGB4,0,0,,True,0
41,403,2022-08-30_160506_MDCBGB12,0,1,,False,-1
42,296,2022-08-24_145816_MDCNGB2,0,0,,True,0
43,188,2022-07-27_154111_MDCNGB4,0,0,,True,0
44,26,2022-07-08_143149_MDCNGB3,2,2,,True,0
45,181,2022-07-27_153808_MDCNGB3,0,0,,True,0
46,277,2022-08-24_145301_MDCNGB1,0,0,,True,0
47,175,2022-07-27_153708_MDCNGB3,0,0,,True,0
48,381,2022-08-30_151704_MDCBGB9,2,2,,True,0
49,7,2022-07-08_142512_MDCNGB2,0,1,,False,-1
50,297,2022-08-24_145826_MDCNGB2,0,0,,True,0
