,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,66,2022-07-08_144144_MDCNGB4,0,0,-3.0615518,True,0
1,62,2022-07-08_144104_MDCNGB4,0,1,-3.3761017,False,-1
2,345,2022-08-30_144756_MDCBGB3,1,1,-3.7512658,True,0
3,375,2022-08-30_151552_MDCBGB8,0,2,-3.7164445,False,-2
4,465,2022-09-01_144534_MDCNGB2,0,0,-3.2614546,True,0
5,473,2022-09-01_145131_MDCNGB4,0,0,-2.7768853,True,0
6,214,2022-07-27_164948_MDCSGB3,0,0,-2.988125,True,0
7,246,2022-08-04_152455_MDCNGB2,0,0,-3.6474576,True,0
8,116,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
9,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
10,398,2022-08-30_160416_MDCBGB12,0,1,-3.4666667,False,-1
11,140,2022-07-26_175632_MDCBGB4,0,2,-2.996923,False,-2
12,384,2022-08-30_151734_MDCBGB9,0,1,-3.5925806,False,-1
13,197,2022-07-27_154606_MDCNGB5,0,0,-3.4865518,True,0
14,382,2022-08-30_151714_MDCBGB9,0,1,-3.638182,False,-1
15,460,2022-09-01_144337_MDCNGB1,0,0,-2.9691525,True,0
16,341,2022-08-30_144113_MDCBGB2,0,1,-3.6985,False,-1
17,89,2022-07-08_145610_MDCNGB6,0,2,-3.0295455,False,-2
18,399,2022-08-30_160426_MDCBGB12,0,1,-3.4614062,False,-1
19,236,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
20,474,2022-09-01_145141_MDCNGB4,0,0,-2.9613333,True,0
21,300,2022-08-24_150336_MDCNGB3,0,0,-3.060678,True,0
22,96,2022-07-08_145710_MDCNGB6,1,1,-3.8341668,True,0
23,357,2022-08-30_145156_MDCBGB4,0,1,-3.9533963,False,-1
24,377,2022-08-30_151612_MDCBGB8,1,2,-3.8347945,False,-1
25,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
26,425,2022-08-31_145441_MDCSGB5,0,0,-2.2665625,True,0
27,293,2022-08-24_145746_MDCNGB2,0,0,-3.7636666,True,0
28,174,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
29,402,2022-08-30_160456_MDCBGB12,0,1,-3.604375,False,-1
30,472,2022-09-01_145124_MDCNGB3,0,0,-2.7473772,True,0
31,223,2022-08-04_151829_MDCNGB1,0,1,-3.8016071,False,-1
32,287,2022-08-24_145441_MDCNGB1,0,0,-2.9015872,True,0
33,228,2022-08-04_151919_MDCNGB1,0,1,-3.7054386,False,-1
34,115,2022-07-26_174250_MDCBGB1,1,1,-3.8771698,True,0
35,58,2022-07-08_144024_MDCNGB4,0,2,-3.6035714,False,-2
36,436,2022-08-31_145836_MDCSGB7,0,0,-2.4288332,True,0
37,400,2022-08-30_160436_MDCBGB12,0,1,-3.439077,False,-1
38,351,2022-08-30_144856_MDCBGB3,2,2,-3.4159017,True,0
39,68,2022-07-08_144204_MDCNGB4,0,2,-2.996349,False,-2
40,417,2022-08-31_145308_MDCSGB4,0,0,-2.7838094,True,0
41,403,2022-08-30_160506_MDCBGB12,0,1,-3.8742857,False,-1
42,296,2022-08-24_145816_MDCNGB2,0,0,-3.9296775,True,0
43,188,2022-07-27_154111_MDCNGB4,0,0,-2.6942105,True,0
44,26,2022-07-08_143149_MDCNGB3,2,2,-3.5904055,True,0
45,181,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
46,277,2022-08-24_145301_MDCNGB1,0,0,-3.2039344,True,0
47,175,2022-07-27_153708_MDCNGB3,0,0,-2.6023943,True,0
48,381,2022-08-30_151704_MDCBGB9,2,2,-3.73,True,0
49,7,2022-07-08_142512_MDCNGB2,0,1,-3.883617,False,-1
50,297,2022-08-24_145826_MDCNGB2,0,0,-3.9804838,True,0
