,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,280,2022-08-24_145331_MDCNGB1,0,0,-3.0635386,True,0
1,378,2022-08-30_151622_MDCBGB8,2,2,-3.6920834,True,0
2,294,2022-08-24_145756_MDCNGB2,0,2,-3.7568853,False,-2
3,324,2022-08-24_151036_MDCNGB4,0,2,-3.2934783,False,-2
4,383,2022-08-30_151724_MDCBGB9,0,2,-3.4943283,False,-2
5,397,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
6,352,2022-08-30_144906_MDCBGB3,2,1,-3.4704616,False,1
7,114,2022-07-26_174240_MDCBGB1,1,1,-3.9703279,True,0
8,404,2022-08-30_151914_MDCBGB9,0,1,-3.9915385,False,-1
9,478,2022-09-01_145221_MDCNGB4,0,2,-3.5730507,False,-2
10,362,2022-08-30_145246_MDCBGB4,0,1,-3.8837037,False,-1
11,488,2022-09-01_145845_MDCNGB6,0,0,-3.054865,True,0
12,99,2022-07-08_145740_MDCNGB6,0,1,-3.9797778,False,-1
13,277,2022-08-24_145301_MDCNGB1,0,0,-3.2039344,True,0
14,387,2022-08-30_151804_MDCBGB9,0,1,-3.8681357,False,-1
15,345,2022-08-30_144756_MDCBGB3,1,1,-3.7512658,True,0
16,288,2022-08-24_145656_MDCNGB2,0,2,-3.4682143,False,-2
17,281,2022-08-24_145341_MDCNGB1,0,0,-3.0293102,True,0
18,221,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
19,334,2022-08-30_143953_MDCBGB2,0,0,-3.0568254,True,0
20,70,2022-07-08_144224_MDCNGB4,0,2,-3.1104918,False,-2
21,52,2022-07-08_143924_MDCNGB4,0,0,-3.0252173,True,0
22,341,2022-08-30_144113_MDCBGB2,0,1,-3.6985,False,-1
23,466,2022-09-01_144544_MDCNGB2,0,0,-3.1494737,True,0
24,245,2022-08-04_152445_MDCNGB2,0,2,-3.7361016,False,-2
25,199,2022-07-27_154626_MDCNGB5,0,2,-3.464737,False,-2
26,366,2022-08-30_145326_MDCBGB4,0,0,-3.8096924,True,0
27,364,2022-08-30_145306_MDCBGB4,0,0,-3.8478947,True,0
28,330,2022-08-30_143703_MDCBGB1,0,2,-3.2826984,False,-2
29,297,2022-08-24_145826_MDCNGB2,0,1,-3.9804838,False,-1
30,349,2022-08-30_144836_MDCBGB3,2,2,-3.6153085,True,0
31,402,2022-08-30_160456_MDCBGB12,0,1,-3.604375,False,-1
32,54,2022-07-08_143944_MDCNGB4,0,2,-3.2634287,False,-2
33,394,2022-08-30_160336_MDCBGB12,0,2,-3.2858462,False,-2
34,72,2022-07-08_144244_MDCNGB4,1,2,-3.4664407,False,-1
35,489,2022-09-01_145855_MDCNGB6,0,0,-3.189403,True,0
36,1,2022-07-08_142412_MDCNGB2,0,2,-3.122909,False,-2
