,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,849,2022-08-31_145308_MDCSGB4,0,0,-5.8263046e-05,True,0
1,791,2022-08-30_160426_MDCBGB12,0,2,9.363674e-05,False,-2
2,357,2022-07-27_154121_MDCNGB4,0,0,5.9326332e-05,True,0
3,272,2022-07-26_175512_MDCBGB4,0,0,-2.492238e-05,True,0
4,65,2022-07-08_144134_MDCNGB4,0,0,0.0001375811,True,0
5,349,2022-07-27_153808_MDCNGB3,0,0,7.718538e-05,True,0
6,90,2022-07-08_145612_MDCNGB6,2,0,0.00010017491,False,2
7,427,2022-08-04_151849_MDCNGB1,1,1,7.394865e-05,True,0
8,501,2022-08-24_150326_MDCNGB3,0,0,8.821839e-05,True,0
9,67,2022-07-08_144154_MDCNGB4,0,0,8.2212166e-05,True,0
10,491,2022-08-24_145706_MDCNGB2,0,2,1.8271323e-05,False,-2
11,280,2022-07-26_175632_MDCBGB4,0,0,1.941772e-05,True,0
12,25,2022-07-08_143139_MDCNGB3,2,2,5.0054034e-05,True,0
13,933,2022-09-01_145855_MDCNGB6,0,0,3.585767e-05,True,0
14,497,2022-08-24_145806_MDCNGB2,0,2,0.0001257974,False,-2
15,919,2022-09-01_145151_MDCNGB4,0,0,0.00012989408,True,0
16,765,2022-08-30_151724_MDCBGB9,0,1,0.00012539396,False,-1
17,63,2022-07-08_144114_MDCNGB4,0,2,8.656649e-05,False,-2
18,89,2022-07-08_145610_MDCNGB6,0,0,1.0908934e-05,True,0
19,682,2022-08-30_144103_MDCBGB2,0,2,3.462716e-05,False,-2
20,688,2022-08-30_144806_MDCBGB3,1,2,3.872345e-05,False,-1
21,499,2022-08-24_145826_MDCNGB2,0,1,0.00013447831,False,-1
22,88,2022-07-08_145600_MDCNGB6,0,0,-4.4881e-05,True,0
23,362,2022-07-27_154218_MDCNGB4,0,0,0.00031264013,True,0
24,256,2022-07-26_174300_MDCBGB1,1,1,4.7016343e-05,True,0
25,283,2022-07-26_175702_MDCBGB4,2,2,-1.603279e-05,True,0
26,854,2022-08-31_145411_MDCSGB5,0,0,0.00014007813,True,0
27,496,2022-08-24_145756_MDCNGB2,0,2,8.287231e-05,False,-2
28,920,2022-09-01_145201_MDCNGB4,0,0,-6.9393373e-06,True,0
29,361,2022-07-27_154208_MDCNGB4,0,0,0.000115572795,True,0
30,359,2022-07-27_154141_MDCNGB4,0,0,4.512204e-05,True,0
31,708,2022-08-30_145326_MDCBGB4,0,2,0.0002453317,False,-2
32,759,2022-08-30_151612_MDCBGB8,1,2,5.2616517e-05,False,-1
33,502,2022-08-24_150336_MDCNGB3,0,0,5.547317e-05,True,0
34,363,2022-07-27_154228_MDCNGB4,0,0,0.00019201468,True,0
35,1,2022-07-08_142412_MDCNGB2,0,0,9.435274e-05,True,0
36,675,2022-08-30_143943_MDCBGB2,0,0,-1.5570808e-05,True,0
37,764,2022-08-30_151714_MDCBGB9,0,1,8.6560074e-05,False,-1
38,441,2022-08-04_152345_MDCNGB2,1,1,0.000117542906,True,0
39,68,2022-07-08_144204_MDCNGB4,0,0,3.505565e-05,True,0
40,484,2022-08-24_145351_MDCNGB1,0,0,4.4619657e-05,True,0
41,696,2022-08-30_145126_MDCBGB4,0,1,5.2779782e-05,False,-1
42,447,2022-08-04_152445_MDCNGB2,0,2,0.00014695337,False,-2
43,92,2022-07-08_145630_MDCNGB6,0,0,4.6921275e-05,True,0
44,69,2022-07-08_144214_MDCNGB4,0,0,1.9388812e-05,True,0
45,858,2022-08-31_145649_MDCSGB6,0,0,0.00019136176,True,0
46,53,2022-07-08_143934_MDCNGB4,0,0,9.3365685e-05,True,0
47,419,2022-07-27_165018_MDCSGB3,0,0,0.00026169085,True,0
48,699,2022-08-30_145156_MDCBGB4,0,1,0.00010435625,False,-1
49,908,2022-09-01_144524_MDCNGB2,0,2,0.0002193884,False,-2
50,444,2022-08-04_152415_MDCNGB2,0,1,1.9340334e-05,False,-1
51,342,2022-07-27_153658_MDCNGB3,0,0,0.00018247389,True,0
