,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,849,2022-08-31_145308_MDCSGB4,0,0,-2.7838094,True,0
1,791,2022-08-30_160426_MDCBGB12,0,2,-3.4614062,False,-2
2,357,2022-07-27_154121_MDCNGB4,0,0,-2.687742,True,0
3,272,2022-07-26_175512_MDCBGB4,0,0,-3.013182,True,0
4,65,2022-07-08_144134_MDCNGB4,0,2,-3.164375,False,-2
5,349,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
6,90,2022-07-08_145612_MDCNGB6,2,0,-3.0355556,False,2
7,427,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
8,501,2022-08-24_150326_MDCNGB3,0,0,-3.149643,True,0
9,67,2022-07-08_144154_MDCNGB4,0,0,-3.0006897,True,0
10,491,2022-08-24_145706_MDCNGB2,0,2,-3.579672,False,-2
11,280,2022-07-26_175632_MDCBGB4,0,0,-2.996923,True,0
12,25,2022-07-08_143139_MDCNGB3,2,2,-3.4255714,True,0
13,933,2022-09-01_145855_MDCNGB6,0,0,-3.189403,True,0
14,497,2022-08-24_145806_MDCNGB2,0,2,-3.774,False,-2
15,919,2022-09-01_145151_MDCNGB4,0,0,-3.1016667,True,0
16,765,2022-08-30_151724_MDCBGB9,0,1,-3.4943283,False,-1
17,63,2022-07-08_144114_MDCNGB4,0,2,-3.270164,False,-2
18,89,2022-07-08_145610_MDCNGB6,0,0,-3.0295455,True,0
19,682,2022-08-30_144103_MDCBGB2,0,2,-3.6547542,False,-2
20,688,2022-08-30_144806_MDCBGB3,1,2,-3.7037663,False,-1
21,499,2022-08-24_145826_MDCNGB2,0,1,-3.9804838,False,-1
22,88,2022-07-08_145600_MDCNGB6,0,0,-3.0756924,True,0
23,362,2022-07-27_154218_MDCNGB4,0,0,-2.6631343,True,0
24,256,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
25,283,2022-07-26_175702_MDCBGB4,2,2,-3.3280883,True,0
26,854,2022-08-31_145411_MDCSGB5,0,0,-2.4004545,True,0
27,496,2022-08-24_145756_MDCNGB2,0,2,-3.7568853,False,-2
28,920,2022-09-01_145201_MDCNGB4,0,0,-3.320339,True,0
29,361,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
30,359,2022-07-27_154141_MDCNGB4,0,0,-2.6616666,True,0
31,708,2022-08-30_145326_MDCBGB4,0,2,-3.8096924,False,-2
32,759,2022-08-30_151612_MDCBGB8,1,2,-3.8347945,False,-1
33,502,2022-08-24_150336_MDCNGB3,0,0,-3.060678,True,0
34,363,2022-07-27_154228_MDCNGB4,0,0,-2.6582813,True,0
35,1,2022-07-08_142412_MDCNGB2,0,0,-3.122909,True,0
36,675,2022-08-30_143943_MDCBGB2,0,0,-3.0463493,True,0
37,764,2022-08-30_151714_MDCBGB9,0,1,-3.638182,False,-1
38,441,2022-08-04_152345_MDCNGB2,1,1,-3.885283,True,0
39,68,2022-07-08_144204_MDCNGB4,0,0,-2.996349,True,0
40,484,2022-08-24_145351_MDCNGB1,0,0,-2.9848387,True,0
41,696,2022-08-30_145126_MDCBGB4,0,1,-3.894348,False,-1
42,447,2022-08-04_152445_MDCNGB2,0,2,-3.7361016,False,-2
43,92,2022-07-08_145630_MDCNGB6,0,0,-3.1043549,True,0
44,69,2022-07-08_144214_MDCNGB4,0,0,-3.0549254,True,0
45,858,2022-08-31_145649_MDCSGB6,0,0,-2.7726786,True,0
46,53,2022-07-08_143934_MDCNGB4,0,0,-3.1533847,True,0
47,419,2022-07-27_165018_MDCSGB3,0,0,-2.9566154,True,0
48,699,2022-08-30_145156_MDCBGB4,0,1,-3.9533963,False,-1
49,908,2022-09-01_144524_MDCNGB2,0,2,-3.408644,False,-2
50,444,2022-08-04_152415_MDCNGB2,0,1,-3.697255,False,-1
51,342,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
