,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,763,2022-08-30_151704_MDCBGB9,2,0,-3.73,False,2
1,756,2022-08-30_151542_MDCBGB8,0,2,-3.7061038,False,-2
2,280,2022-07-26_175632_MDCBGB4,0,0,-2.996923,True,0
3,484,2022-08-24_145351_MDCNGB1,0,0,-2.9848387,True,0
4,57,2022-07-08_144014_MDCNGB4,0,2,-3.56625,False,-2
5,706,2022-08-30_145306_MDCBGB4,0,1,-3.8478947,False,-1
6,56,2022-07-08_144004_MDCNGB4,0,2,-3.6089063,False,-2
7,0,2022-07-08_142402_MDCNGB2,0,0,-3.160328,True,0
8,477,2022-08-24_145241_MDCNGB1,0,0,-3.2371874,True,0
9,359,2022-07-27_154141_MDCNGB4,0,0,-2.6616666,True,0
10,669,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
11,72,2022-07-08_144244_MDCNGB4,1,2,-3.4664407,False,-1
12,483,2022-08-24_145341_MDCNGB1,0,0,-3.0293102,True,0
13,370,2022-07-27_154656_MDCNGB5,0,2,-3.4240983,False,-2
14,53,2022-07-08_143934_MDCNGB4,0,0,-3.1533847,True,0
15,371,2022-07-27_154706_MDCNGB5,0,0,-3.2983334,True,0
16,694,2022-08-30_144906_MDCBGB3,2,1,-3.4704616,False,1
17,90,2022-07-08_145612_MDCNGB6,2,0,-3.0355556,False,2
18,708,2022-08-30_145326_MDCBGB4,0,2,-3.8096924,False,-2
19,931,2022-09-01_145835_MDCNGB6,0,0,-2.8991935,True,0
20,61,2022-07-08_144054_MDCNGB4,0,1,-3.418644,False,-1
21,282,2022-07-26_175652_MDCBGB4,0,2,-3.344143,False,-2
22,752,2022-08-30_151458_MDCBGB8,0,2,-3.46056,False,-2
23,441,2022-08-04_152345_MDCNGB2,1,1,-3.885283,True,0
24,908,2022-09-01_144524_MDCNGB2,0,2,-3.408644,False,-2
25,2,2022-07-08_142422_MDCNGB2,1,2,-3.3533332,False,-1
26,24,2022-07-08_143129_MDCNGB3,0,2,-3.404697,False,-2
27,59,2022-07-08_144034_MDCNGB4,0,1,-3.6542373,False,-1
28,430,2022-08-04_151919_MDCNGB1,0,2,-3.7054386,False,-2
29,67,2022-07-08_144154_MDCNGB4,0,0,-3.0006897,True,0
30,62,2022-07-08_144104_MDCNGB4,0,1,-3.3761017,False,-1
31,361,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
32,423,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
33,492,2022-08-24_145716_MDCNGB2,0,2,-3.6236668,False,-2
34,675,2022-08-30_143943_MDCBGB2,0,0,-3.0463493,True,0
35,485,2022-08-24_145401_MDCNGB1,0,0,-2.9368334,True,0
36,682,2022-08-30_144103_MDCBGB2,0,2,-3.6547542,False,-2
37,914,2022-09-01_145101_MDCNGB3,0,0,-2.8296773,True,0
38,527,2022-08-24_151046_MDCNGB4,0,2,-3.416212,False,-2
39,688,2022-08-30_144806_MDCBGB3,1,2,-3.7037663,False,-1
40,926,2022-09-01_145737_MDCNGB5,0,0,-2.8822727,True,0
41,699,2022-08-30_145156_MDCBGB4,0,1,-3.9533963,False,-1
42,753,2022-08-30_151512_MDCBGB8,0,1,-3.5304818,False,-1
