,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,77,2022-07-08_144334_MDCNGB4,1,0,4.9121245e-05,False,1
1,87,2022-07-08_144942_MDCNGB5,1,2,4.8556954e-05,False,-1
2,269,2022-07-26_175049_MDCBGB3,2,1,4.470052e-05,False,1
3,103,2022-07-08_145850_MDCNGB6,0,1,6.0573613e-05,False,-1
4,258,2022-07-26_174709_MDCBGB2,0,0,9.269642e-05,True,0
5,109,2022-07-08_145950_MDCNGB6,0,0,9.069496e-05,True,0
6,106,2022-07-08_145920_MDCNGB6,0,0,2.192625e-05,True,0
7,449,2022-08-04_153143_MDCNGB3,0,0,0.00014841657,True,0
8,9,2022-07-08_142532_MDCNGB2,0,2,4.0072213e-05,False,-2
9,21,2022-07-08_142732_MDCNGB2,1,1,0.00012109129,True,0
10,882,2022-08-31_150638_MDCSGB11,0,1,0.00014446702,False,-1
11,436,2022-08-04_152255_MDCNGB2,1,0,-1.2386443e-05,False,1
12,422,2022-08-04_151759_MDCNGB1,0,0,7.7875775e-05,True,0
13,421,2022-08-04_151749_MDCNGB1,0,0,3.802563e-05,True,0
14,433,2022-08-04_152225_MDCNGB2,1,1,3.245112e-05,True,0
15,33,2022-07-08_143259_MDCNGB3,1,1,-1.0989006e-06,True,0
16,470,2022-08-04_154326_MDCNGB4,2,1,0.00010953106,False,1
17,286,2022-07-26_175928_MDCBGB5,2,2,4.5964047e-05,True,0
18,113,2022-07-08_150030_MDCNGB6,0,1,0.00013595585,False,-1
19,105,2022-07-08_145910_MDCNGB6,0,0,4.421217e-05,True,0
20,454,2022-08-04_153233_MDCNGB3,0,0,3.6785725e-05,True,0
21,83,2022-07-08_144902_MDCNGB5,2,1,3.2598e-05,False,1
22,81,2022-07-08_144842_MDCNGB5,1,2,4.1962474e-05,False,-1
23,473,2022-08-04_154356_MDCNGB4,1,1,7.989828e-05,True,0
24,14,2022-07-08_142622_MDCNGB2,1,2,0.00016025566,False,-1
