,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,77,2022-07-08_144334_MDCNGB4,1,0,-4.2313724,False,1
1,436,2022-08-04_152255_MDCNGB2,1,0,-4.165,False,1
2,433,2022-08-04_152225_MDCNGB2,1,1,-4.3572726,True,0
3,9,2022-07-08_142532_MDCNGB2,0,2,-4.2093334,False,-2
4,105,2022-07-08_145910_MDCNGB6,0,0,-4.647818,True,0
5,473,2022-08-04_154356_MDCNGB4,1,1,-5.591194,True,0
6,106,2022-07-08_145920_MDCNGB6,0,0,-4.749057,True,0
7,286,2022-07-26_175928_MDCBGB5,2,2,-4.5149207,True,0
8,103,2022-07-08_145850_MDCNGB6,0,1,-4.4439654,False,-1
9,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
10,472,2022-08-04_154346_MDCNGB4,1,1,-5.577286,True,0
11,269,2022-07-26_175049_MDCBGB3,2,2,-4.4368253,True,0
12,14,2022-07-08_142622_MDCNGB2,1,1,-4.67125,True,0
13,102,2022-07-08_145840_MDCNGB6,1,0,-4.251091,False,1
14,454,2022-08-04_153233_MDCNGB3,0,0,-4.614872,True,0
15,422,2022-08-04_151759_MDCNGB1,0,0,-4.0914,True,0
16,83,2022-07-08_144902_MDCNGB5,2,1,-4.880517,False,1
17,470,2022-08-04_154326_MDCNGB4,2,1,-5.674,False,1
18,421,2022-08-04_151749_MDCNGB1,0,0,-4.1364408,True,0
19,109,2022-07-08_145950_MDCNGB6,0,0,-4.715965,True,0
20,21,2022-07-08_142732_MDCNGB2,1,1,-5.3582354,True,0
21,685,2022-08-30_144736_MDCBGB3,0,2,-4.0528226,False,-2
22,33,2022-07-08_143259_MDCNGB3,1,1,-4.428806,True,0
