,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,433,2022-08-31_145806_MDCSGB7,0,0,-2.5554385,True,0
1,57,2022-07-08_144014_MDCNGB4,0,2,-3.56625,False,-2
2,197,2022-07-27_154606_MDCNGB5,0,0,-3.4865518,True,0
3,398,2022-08-30_160416_MDCBGB12,0,1,-3.4666667,False,-1
4,27,2022-07-08_143159_MDCNGB3,2,2,-3.5565383,True,0
5,15,2022-07-08_142632_MDCNGB2,1,2,-4.7432694,False,-1
6,0,2022-07-08_142402_MDCNGB2,0,0,-3.160328,True,0
7,382,2022-08-30_151714_MDCBGB9,0,2,-3.638182,False,-2
8,257,2022-08-04_153409_MDCNGB3,2,1,-4.9353848,False,1
9,260,2022-08-04_154206_MDCNGB4,1,1,-5.614068,True,0
10,99,2022-07-08_145740_MDCNGB6,0,1,-3.9797778,False,-1
11,215,2022-07-27_164958_MDCSGB3,0,0,-3.0222974,True,0
12,248,2022-08-04_153153_MDCNGB3,0,1,-4.604268,False,-1
13,372,2022-08-30_151522_MDCBGB8,0,0,-3.1068518,True,0
14,58,2022-07-08_144024_MDCNGB4,0,2,-3.6035714,False,-2
15,458,2022-09-01_144317_MDCNGB1,0,1,-3.2038462,False,-1
16,485,2022-09-01_145815_MDCNGB6,0,0,-2.6977613,True,0
17,154,2022-07-26_180048_MDCBGB5,1,2,-4.904412,False,-1
18,216,2022-07-27_165008_MDCSGB3,0,0,-2.9764285,True,0
19,90,2022-07-08_145612_MDCNGB6,2,0,-3.0355556,False,2
20,21,2022-07-08_142732_MDCNGB2,1,1,-5.3582354,True,0
21,26,2022-07-08_143149_MDCNGB3,2,2,-3.5904055,True,0
22,300,2022-08-24_150336_MDCNGB3,0,0,-3.060678,True,0
23,95,2022-07-08_145700_MDCNGB6,0,2,-3.3775861,False,-2
24,168,2022-07-26_180520_MDCBGB6,0,1,-4.6736584,False,-1
25,295,2022-08-24_145806_MDCNGB2,0,0,-3.774,True,0
26,217,2022-07-27_165018_MDCSGB3,0,0,-2.9566154,True,0
27,126,2022-07-26_175019_MDCBGB3,1,1,-4.2328844,True,0
28,229,2022-08-04_151929_MDCNGB1,0,0,-3.6552632,True,0
29,224,2022-08-04_151839_MDCNGB1,1,0,-3.8047059,False,1
30,181,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
31,43,2022-07-08_143439_MDCNGB3,1,1,-5.3251514,True,0
32,212,2022-07-27_164928_MDCSGB3,0,0,-2.8933885,True,0
33,262,2022-08-04_154226_MDCNGB4,2,2,-5.593485,True,0
34,242,2022-08-04_152415_MDCNGB2,0,1,-3.697255,False,-1
35,9,2022-07-08_142532_MDCNGB2,0,2,-4.2093334,False,-2
36,1,2022-07-08_142412_MDCNGB2,0,0,-3.122909,True,0
37,178,2022-07-27_153738_MDCNGB3,0,0,-2.7035136,True,0
38,228,2022-08-04_151919_MDCNGB1,0,0,-3.7054386,True,0
39,143,2022-07-26_175702_MDCBGB4,2,2,-3.3280883,True,0
40,267,2022-08-04_154316_MDCNGB4,1,2,-5.6535,False,-1
41,387,2022-08-30_151804_MDCBGB9,0,1,-3.8681357,False,-1
42,432,2022-08-31_145756_MDCSGB7,0,0,-2.57,True,0
43,344,2022-08-30_144746_MDCBGB3,1,2,-3.6071305,False,-1
44,174,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
45,11,2022-07-08_142552_MDCNGB2,1,2,-4.315238,False,-1
46,371,2022-08-30_151512_MDCBGB8,0,2,-3.5304818,False,-2
47,110,2022-07-08_150000_MDCNGB6,0,1,-4.888163,False,-1
48,213,2022-07-27_164938_MDCSGB3,0,0,-2.9845762,True,0
49,285,2022-08-24_145421_MDCNGB1,0,0,-2.9190626,True,0
