,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,85,2022-07-08_144922_MDCNGB5,1,1,-5.129231,True,0
1,472,2022-09-01_145124_MDCNGB3,0,0,-2.7473772,True,0
2,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
3,471,2022-09-01_145111_MDCNGB3,0,0,-2.7346032,True,0
4,22,2022-07-08_143109_MDCNGB3,0,0,-2.954557,True,0
5,238,2022-08-04_152335_MDCNGB2,0,0,-3.9810715,True,0
6,0,2022-07-08_142402_MDCNGB2,0,0,-3.160328,True,0
7,382,2022-08-30_151714_MDCBGB9,0,2,-3.638182,False,-2
8,147,2022-07-26_175938_MDCBGB5,2,2,-4.624219,True,0
9,78,2022-07-08_144344_MDCNGB4,0,1,-4.2417545,False,-1
10,96,2022-07-08_145710_MDCNGB6,1,0,-3.8341668,False,1
11,343,2022-08-30_144736_MDCBGB3,0,2,-4.0528226,False,-2
12,201,2022-07-27_154646_MDCNGB5,0,0,-3.4439344,True,0
13,351,2022-08-30_144856_MDCBGB3,2,2,-3.4159017,True,0
14,197,2022-07-27_154606_MDCNGB5,0,0,-3.4865518,True,0
15,333,2022-08-30_143943_MDCBGB2,0,0,-3.0463493,True,0
16,114,2022-07-26_174240_MDCBGB1,1,1,-3.9703279,True,0
17,223,2022-08-04_151829_MDCNGB1,0,1,-3.8016071,False,-1
18,393,2022-08-30_151904_MDCBGB9,0,1,-3.9303923,False,-1
19,291,2022-08-24_145726_MDCNGB2,0,0,-3.6939654,True,0
20,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
21,348,2022-08-30_144826_MDCBGB3,2,2,-3.6198611,True,0
22,115,2022-07-26_174250_MDCBGB1,1,1,-3.8771698,True,0
23,124,2022-07-26_174959_MDCBGB3,0,1,-4.2673016,False,-1
24,108,2022-07-08_145940_MDCNGB6,0,0,-4.779643,True,0
25,74,2022-07-08_144304_MDCNGB4,1,1,-3.9322808,True,0
26,388,2022-08-30_151814_MDCBGB9,0,1,-3.91375,False,-1
27,250,2022-08-04_153213_MDCNGB3,0,0,-4.664154,True,0
28,470,2022-09-01_145101_MDCNGB3,0,0,-2.8296773,True,0
29,203,2022-07-27_154706_MDCNGB5,0,0,-3.2983334,True,0
30,116,2022-07-26_174300_MDCBGB1,1,0,-3.7625425,False,1
31,199,2022-07-27_154626_MDCNGB5,0,0,-3.464737,True,0
32,77,2022-07-08_144334_MDCNGB4,1,1,-4.2313724,True,0
33,378,2022-08-30_151622_MDCBGB8,2,2,-3.6920834,True,0
34,237,2022-08-04_152325_MDCNGB2,0,0,-3.979649,True,0
35,384,2022-08-30_151734_MDCBGB9,0,0,-3.5925806,True,0
36,357,2022-08-30_145156_MDCBGB4,0,0,-3.9533963,True,0
37,111,2022-07-08_150010_MDCNGB6,0,1,-4.990893,False,-1
38,345,2022-08-30_144756_MDCBGB3,1,1,-3.7512658,True,0
39,375,2022-08-30_151552_MDCBGB8,0,2,-3.7164445,False,-2
40,70,2022-07-08_144224_MDCNGB4,0,0,-3.1104918,True,0
41,402,2022-08-30_160456_MDCBGB12,0,0,-3.604375,True,0
42,272,2022-08-04_154645_MDCNGB5,0,0,-5.155733,True,0
43,473,2022-09-01_145131_MDCNGB4,0,0,-2.7768853,True,0
44,168,2022-07-26_180520_MDCBGB6,0,1,-4.6736584,False,-1
45,221,2022-08-04_151809_MDCNGB1,1,0,-3.9573214,False,1
46,36,2022-07-08_143329_MDCNGB3,0,2,-4.615714,False,-2
47,279,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
48,369,2022-08-30_151448_MDCBGB8,0,0,-3.3519404,True,0
49,16,2022-07-08_142642_MDCNGB2,1,0,-4.7607017,False,1
50,46,2022-07-08_143509_MDCNGB3,1,1,-5.466939,True,0
51,401,2022-08-30_160446_MDCBGB12,0,0,-3.6129687,True,0
52,39,2022-07-08_143359_MDCNGB3,1,0,-4.938906,False,1
53,14,2022-07-08_142622_MDCNGB2,1,1,-4.67125,True,0
54,268,2022-08-04_154326_MDCNGB4,2,1,-5.674,False,1
55,469,2022-09-01_145051_MDCNGB3,0,0,-2.947069,True,0
56,84,2022-07-08_144912_MDCNGB5,1,2,-4.9398413,False,-1
57,329,2022-08-30_143653_MDCBGB1,0,0,-3.3246775,True,0
58,249,2022-08-04_153203_MDCNGB3,0,0,-4.64,True,0
59,50,2022-07-08_143904_MDCNGB4,0,0,-2.8120894,True,0
60,219,2022-08-04_151749_MDCNGB1,0,0,-4.1364408,True,0
61,460,2022-09-01_144337_MDCNGB1,0,0,-2.9691525,True,0
62,474,2022-09-01_145141_MDCNGB4,0,0,-2.9613333,True,0
63,35,2022-07-08_143319_MDCNGB3,2,1,-4.542029,False,1
