,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,375,2022-07-27_154758_MDCNGB5,0,0,-2.9955225,True,0
1,280,2022-07-26_175632_MDCBGB4,0,0,-2.996923,True,0
2,284,2022-07-26_175907_MDCBGB5,2,2,-4.4214754,True,0
3,751,2022-08-30_151448_MDCBGB8,0,2,-3.3519404,False,-2
4,92,2022-07-08_145630_MDCNGB6,0,0,-3.1043549,True,0
5,766,2022-08-30_151734_MDCBGB9,0,2,-3.5925806,False,-2
6,65,2022-07-08_144134_MDCNGB4,0,2,-3.164375,False,-2
7,444,2022-08-04_152415_MDCNGB2,0,0,-3.697255,True,0
8,46,2022-07-08_143509_MDCNGB3,1,1,-5.466939,True,0
9,39,2022-07-08_143359_MDCNGB3,1,1,-4.938906,True,0
10,281,2022-07-26_175642_MDCBGB4,0,0,-3.3497143,True,0
11,769,2022-08-30_151804_MDCBGB9,0,2,-3.8681357,False,-2
12,908,2022-09-01_144524_MDCNGB2,0,2,-3.408644,False,-2
13,914,2022-09-01_145101_MDCNGB3,0,0,-2.8296773,True,0
14,255,2022-07-26_174250_MDCBGB1,1,1,-3.8771698,True,0
15,425,2022-08-04_151829_MDCNGB1,0,0,-3.8016071,True,0
16,918,2022-09-01_145141_MDCNGB4,0,0,-2.9613333,True,0
17,67,2022-07-08_144154_MDCNGB4,0,0,-3.0006897,True,0
18,687,2022-08-30_144756_MDCBGB3,1,2,-3.7512658,False,-1
19,930,2022-09-01_145825_MDCNGB6,0,0,-2.7669842,True,0
20,423,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
21,442,2022-08-04_152355_MDCNGB2,0,1,-3.7739623,False,-1
22,16,2022-07-08_142642_MDCNGB2,1,0,-4.7607017,False,1
23,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
24,482,2022-08-24_145331_MDCNGB1,0,0,-3.0635386,True,0
25,461,2022-08-04_154156_MDCNGB4,1,1,-5.579516,True,0
26,470,2022-08-04_154326_MDCNGB4,2,1,-5.674,False,1
27,14,2022-07-08_142622_MDCNGB2,1,2,-4.67125,False,-1
28,256,2022-07-26_174300_MDCBGB1,1,0,-3.7625425,False,1
29,933,2022-09-01_145855_MDCNGB6,0,0,-3.189403,True,0
30,83,2022-07-08_144902_MDCNGB5,2,1,-4.880517,False,1
31,525,2022-08-24_151016_MDCNGB4,0,0,-2.9883099,True,0
32,490,2022-08-24_145656_MDCNGB2,0,0,-3.4682143,True,0
33,488,2022-08-24_145431_MDCNGB1,0,0,-2.9066129,True,0
34,496,2022-08-24_145756_MDCNGB2,0,2,-3.7568853,False,-2
35,35,2022-07-08_143319_MDCNGB3,2,2,-4.542029,True,0
36,96,2022-07-08_145710_MDCNGB6,1,2,-3.8341668,False,-1
37,254,2022-07-26_174240_MDCBGB1,1,1,-3.9703279,True,0
38,475,2022-08-04_154655_MDCNGB5,0,1,-5.140704,False,-1
39,372,2022-07-27_154716_MDCNGB5,0,0,-3.242459,True,0
40,458,2022-08-04_153313_MDCNGB3,0,1,-4.718923,False,-1
41,94,2022-07-08_145650_MDCNGB6,0,2,-3.1896365,False,-2
42,494,2022-08-24_145736_MDCNGB2,0,2,-3.7266667,False,-2
43,772,2022-08-30_151834_MDCBGB9,0,0,-3.8391228,True,0
44,77,2022-07-08_144334_MDCNGB4,1,1,-4.2313724,True,0
45,36,2022-07-08_143329_MDCNGB3,0,1,-4.615714,False,-1
46,367,2022-07-27_154626_MDCNGB5,0,2,-3.464737,False,-2
47,22,2022-07-08_143109_MDCNGB3,0,0,-2.954557,True,0
48,916,2022-09-01_145124_MDCNGB3,0,0,-2.7473772,True,0
49,682,2022-08-30_144103_MDCBGB2,0,2,-3.6547542,False,-2
50,111,2022-07-08_150010_MDCNGB6,0,1,-4.990893,False,-1
51,9,2022-07-08_142532_MDCNGB2,0,2,-4.2093334,False,-2
52,920,2022-09-01_145201_MDCNGB4,0,0,-3.320339,True,0
53,767,2022-08-30_151744_MDCBGB9,0,2,-3.518923,False,-2
54,308,2022-07-26_180520_MDCBGB6,0,1,-4.6736584,False,-1
55,420,2022-08-04_151739_MDCNGB1,0,1,-4.2149124,False,-1
56,285,2022-07-26_175917_MDCBGB5,2,2,-4.3508954,True,0
57,292,2022-07-26_180028_MDCBGB5,2,2,-4.787846,True,0
58,793,2022-08-30_160446_MDCBGB12,0,0,-3.6129687,True,0
59,760,2022-08-30_151622_MDCBGB8,2,2,-3.6920834,True,0
60,702,2022-08-30_145226_MDCBGB4,0,1,-3.758,False,-1
61,263,2022-07-26_174949_MDCBGB3,0,1,-4.174138,False,-1
62,264,2022-07-26_174959_MDCBGB3,0,1,-4.2673016,False,-1
63,74,2022-07-08_144304_MDCNGB4,1,1,-3.9322808,True,0
64,363,2022-07-27_154228_MDCNGB4,0,0,-2.6582813,True,0
65,768,2022-08-30_151754_MDCBGB9,0,2,-3.6598334,False,-2
