,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,225,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
1,294,2022-08-24_145756_MDCNGB2,0,1,-3.7568853,False,-1
2,283,2022-08-24_145401_MDCNGB1,0,0,-2.9368334,True,0
3,2,2022-07-08_142422_MDCNGB2,1,1,-3.3533332,True,0
4,244,2022-08-04_152435_MDCNGB2,0,1,-3.702623,False,-1
5,288,2022-08-24_145656_MDCNGB2,0,0,-3.4682143,True,0
6,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
7,330,2022-08-30_143703_MDCBGB1,0,0,-3.2826984,True,0
8,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
9,49,2022-07-08_143854_MDCNGB4,0,0,-2.7058442,True,0
10,67,2022-07-08_144154_MDCNGB4,1,0,-3.0006897,False,1
11,366,2022-08-30_145326_MDCBGB4,0,0,-3.8096924,True,0
12,351,2022-08-30_144856_MDCBGB3,1,1,-3.4159017,True,0
13,286,2022-08-24_145431_MDCNGB1,0,0,-2.9066129,True,0
14,193,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
15,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
16,364,2022-08-30_145306_MDCBGB4,0,0,-3.8478947,True,0
17,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
18,27,2022-07-08_143159_MDCNGB3,1,1,-3.5565383,True,0
19,395,2022-08-30_160346_MDCBGB12,1,0,-3.3367648,False,1
20,70,2022-07-08_144224_MDCNGB4,0,0,-3.1104918,True,0
21,239,2022-08-04_152345_MDCNGB2,1,0,-3.885283,False,1
22,469,2022-09-01_145051_MDCNGB3,0,0,-2.947069,True,0
23,52,2022-07-08_143924_MDCNGB4,0,0,-3.0252173,True,0
24,462,2022-09-01_144504_MDCNGB2,0,1,-3.614,False,-1
25,471,2022-09-01_145111_MDCNGB3,0,0,-2.7346032,True,0
26,390,2022-08-30_151834_MDCBGB9,0,1,-3.8391228,False,-1
27,140,2022-07-26_175632_MDCBGB4,1,0,-2.996923,False,1
28,297,2022-08-24_145826_MDCNGB2,0,1,-3.9804838,False,-1
29,3,2022-07-08_142432_MDCNGB2,1,0,-3.6323729,False,1
30,465,2022-09-01_144534_MDCNGB2,0,0,-3.2614546,True,0
31,0,2022-07-08_142402_MDCNGB2,0,0,-3.160328,True,0
32,361,2022-08-30_145236_MDCBGB4,0,1,-3.8038983,False,-1
33,72,2022-07-08_144244_MDCNGB4,1,1,-3.4664407,True,0
34,240,2022-08-04_152355_MDCNGB2,0,1,-3.7739623,False,-1
35,397,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
36,399,2022-08-30_160426_MDCBGB12,0,1,-3.4614062,False,-1
37,142,2022-07-26_175652_MDCBGB4,1,1,-3.344143,True,0
38,280,2022-08-24_145331_MDCNGB1,0,0,-3.0635386,True,0
39,74,2022-07-08_144304_MDCNGB4,1,1,-3.9322808,True,0
40,487,2022-09-01_145835_MDCNGB6,0,0,-2.8991935,True,0
41,474,2022-09-01_145141_MDCNGB4,0,0,-2.9613333,True,0
42,378,2022-08-30_151622_MDCBGB8,1,1,-3.6920834,True,0
43,312,2022-08-24_150537_MDCNGB3,0,1,-3.1764815,False,-1
