,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,432,2022-08-31_145756_MDCSGB7,0,0,,True,0
1,214,2022-07-27_164948_MDCSGB3,1,1,,True,0
2,172,2022-07-27_153638_MDCNGB3,0,0,,True,0
3,186,2022-07-27_154051_MDCNGB4,0,0,,True,0
4,193,2022-07-27_154208_MDCNGB4,0,0,,True,0
5,419,2022-08-31_145328_MDCSGB4,0,0,,True,0
6,175,2022-07-27_153708_MDCNGB3,0,0,,True,0
7,483,2022-09-01_145747_MDCNGB5,0,0,,True,0
8,425,2022-08-31_145441_MDCSGB5,0,0,,True,0
9,174,2022-07-27_153658_MDCNGB3,0,0,,True,0
10,461,2022-09-01_144347_MDCNGB1,0,0,,True,0
11,181,2022-07-27_153808_MDCNGB3,0,0,,True,0
12,209,2022-07-27_164858_MDCSGB3,0,1,,False,-1
13,190,2022-07-27_154131_MDCNGB4,0,0,,True,0
14,183,2022-07-27_154021_MDCNGB4,0,0,,True,0
