,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,391,2022-08-30_151844_MDCBGB9,1,1,-3.904375,True,0
1,338,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
2,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
3,362,2022-08-30_145246_MDCBGB4,0,1,-3.8837037,False,-1
4,342,2022-08-30_144123_MDCBGB2,0,0,-3.7172222,True,0
5,228,2022-08-04_151919_MDCNGB1,0,1,-3.7054386,False,-1
6,92,2022-07-08_145630_MDCNGB6,0,0,-3.1043549,True,0
7,344,2022-08-30_144746_MDCBGB3,1,1,-3.6071305,True,0
8,375,2022-08-30_151552_MDCBGB8,1,1,-3.7164445,True,0
9,467,2022-09-01_145031_MDCNGB3,0,0,-3.0730357,True,0
10,243,2022-08-04_152425_MDCNGB2,1,1,-3.7364516,True,0
11,223,2022-08-04_151829_MDCNGB1,1,1,-3.8016071,True,0
12,295,2022-08-24_145806_MDCNGB2,0,1,-3.774,False,-1
13,475,2022-09-01_145151_MDCNGB4,0,0,-3.1016667,True,0
14,294,2022-08-24_145756_MDCNGB2,0,1,-3.7568853,False,-1
15,489,2022-09-01_145855_MDCNGB6,0,0,-3.189403,True,0
16,225,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
17,72,2022-07-08_144244_MDCNGB4,1,1,-3.4664407,True,0
18,99,2022-07-08_145740_MDCNGB6,1,1,-3.9797778,True,0
19,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
20,94,2022-07-08_145650_MDCNGB6,0,0,-3.1896365,True,0
21,358,2022-08-30_145206_MDCBGB4,0,0,-3.7527273,True,0
22,352,2022-08-30_144906_MDCBGB3,1,1,-3.4704616,True,0
23,205,2022-07-27_154726_MDCNGB5,1,0,-3.2510345,False,1
24,399,2022-08-30_160426_MDCBGB12,0,1,-3.4614062,False,-1
25,289,2022-08-24_145706_MDCNGB2,0,0,-3.579672,True,0
26,157,2022-07-26_180330_MDCBGB6,1,1,-3.9887097,True,0
27,365,2022-08-30_145316_MDCBGB4,0,0,-3.852456,True,0
28,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
29,69,2022-07-08_144214_MDCNGB4,0,0,-3.0549254,True,0
30,239,2022-08-04_152345_MDCNGB2,1,1,-3.885283,True,0
31,280,2022-08-24_145331_MDCNGB1,0,0,-3.0635386,True,0
32,366,2022-08-30_145326_MDCBGB4,0,1,-3.8096924,False,-1
33,202,2022-07-27_154656_MDCNGB5,0,0,-3.4240983,True,0
34,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
35,27,2022-07-08_143159_MDCNGB3,1,1,-3.5565383,True,0
36,196,2022-07-27_154556_MDCNGB5,0,1,-3.522034,False,-1
37,292,2022-08-24_145736_MDCNGB2,0,0,-3.7266667,True,0
