,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,358,2022-08-30_145206_MDCBGB4,0,0,-3.7527273,True,0
1,344,2022-08-30_144746_MDCBGB3,1,1,-3.6071305,True,0
2,346,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
3,391,2022-08-30_151844_MDCBGB9,1,1,-3.904375,True,0
4,375,2022-08-30_151552_MDCBGB8,1,1,-3.7164445,True,0
5,66,2022-07-08_144144_MDCNGB4,0,1,-3.0615518,False,-1
6,93,2022-07-08_145640_MDCNGB6,0,0,-3.085625,True,0
7,366,2022-08-30_145326_MDCBGB4,0,0,-3.8096924,True,0
8,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
9,202,2022-07-27_154656_MDCNGB5,0,0,-3.4240983,True,0
10,69,2022-07-08_144214_MDCNGB4,0,1,-3.0549254,False,-1
11,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
12,5,2022-07-08_142452_MDCNGB2,1,1,-3.818868,True,0
13,295,2022-08-24_145806_MDCNGB2,0,0,-3.774,True,0
14,26,2022-07-08_143149_MDCNGB3,1,1,-3.5904055,True,0
15,362,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
16,331,2022-08-30_143923_MDCBGB2,0,0,-3.0864913,True,0
17,196,2022-07-27_154556_MDCNGB5,0,0,-3.522034,True,0
18,384,2022-08-30_151734_MDCBGB9,0,1,-3.5925806,False,-1
19,365,2022-08-30_145316_MDCBGB4,0,0,-3.852456,True,0
20,294,2022-08-24_145756_MDCNGB2,0,0,-3.7568853,True,0
21,99,2022-07-08_145740_MDCNGB6,1,1,-3.9797778,True,0
22,239,2022-08-04_152345_MDCNGB2,1,0,-3.885283,False,1
23,289,2022-08-24_145706_MDCNGB2,0,0,-3.579672,True,0
24,279,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
25,88,2022-07-08_145600_MDCNGB6,0,1,-3.0756924,False,-1
26,352,2022-08-30_144906_MDCBGB3,1,1,-3.4704616,True,0
27,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
28,338,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
29,228,2022-08-04_151919_MDCNGB1,0,1,-3.7054386,False,-1
30,342,2022-08-30_144123_MDCBGB2,0,0,-3.7172222,True,0
31,243,2022-08-04_152425_MDCNGB2,1,1,-3.7364516,True,0
32,300,2022-08-24_150336_MDCNGB3,0,0,-3.060678,True,0
33,157,2022-07-26_180330_MDCBGB6,1,0,-3.9887097,False,1
34,27,2022-07-08_143159_MDCNGB3,1,1,-3.5565383,True,0
35,225,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
