,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,331,2022-08-30_143923_MDCBGB2,0,0,-3.0864913,True,0
1,346,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
2,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
3,342,2022-08-30_144123_MDCBGB2,0,0,-3.7172222,True,0
4,5,2022-07-08_142452_MDCNGB2,1,1,-3.818868,True,0
5,325,2022-08-24_151046_MDCNGB4,1,1,-3.416212,True,0
6,352,2022-08-30_144906_MDCBGB3,1,1,-3.4704616,True,0
7,243,2022-08-04_152425_MDCNGB2,1,1,-3.7364516,True,0
8,362,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
9,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
10,69,2022-07-08_144214_MDCNGB4,0,0,-3.0549254,True,0
11,225,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
12,384,2022-08-30_151734_MDCBGB9,0,1,-3.5925806,False,-1
13,196,2022-07-27_154556_MDCNGB5,0,0,-3.522034,True,0
14,88,2022-07-08_145600_MDCNGB6,0,1,-3.0756924,False,-1
15,289,2022-08-24_145706_MDCNGB2,0,0,-3.579672,True,0
16,99,2022-07-08_145740_MDCNGB6,1,1,-3.9797778,True,0
17,365,2022-08-30_145316_MDCBGB4,0,0,-3.852456,True,0
18,66,2022-07-08_144144_MDCNGB4,0,1,-3.0615518,False,-1
19,93,2022-07-08_145640_MDCNGB6,0,0,-3.085625,True,0
20,338,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
21,26,2022-07-08_143149_MDCNGB3,1,1,-3.5904055,True,0
22,366,2022-08-30_145326_MDCBGB4,0,0,-3.8096924,True,0
23,202,2022-07-27_154656_MDCNGB5,0,0,-3.4240983,True,0
24,363,2022-08-30_145256_MDCBGB4,0,0,-3.8333333,True,0
25,27,2022-07-08_143159_MDCNGB3,1,1,-3.5565383,True,0
26,358,2022-08-30_145206_MDCBGB4,0,1,-3.7527273,False,-1
27,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
28,292,2022-08-24_145736_MDCNGB2,0,1,-3.7266667,False,-1
29,279,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
30,294,2022-08-24_145756_MDCNGB2,0,0,-3.7568853,True,0
31,344,2022-08-30_144746_MDCBGB3,1,1,-3.6071305,True,0
32,239,2022-08-04_152345_MDCNGB2,1,0,-3.885283,False,1
33,391,2022-08-30_151844_MDCBGB9,1,1,-3.904375,True,0
34,295,2022-08-24_145806_MDCNGB2,0,0,-3.774,True,0
35,228,2022-08-04_151919_MDCNGB1,0,0,-3.7054386,True,0
