,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,499,2022-08-24_145826_MDCNGB2,0,1,-3.9804838,False,-1
1,704,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
2,688,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
3,756,2022-08-30_151542_MDCBGB8,0,1,-3.7061038,False,-1
4,55,2022-07-08_143954_MDCNGB4,0,1,-3.4301667,False,-1
5,498,2022-08-24_145816_MDCNGB2,0,1,-3.9296775,False,-1
6,256,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
7,500,2022-08-24_145836_MDCNGB2,1,1,-3.978889,True,0
8,527,2022-08-24_151046_MDCNGB4,1,1,-3.416212,True,0
9,483,2022-08-24_145341_MDCNGB1,0,0,-3.0293102,True,0
10,351,2022-07-27_154021_MDCNGB4,0,0,-2.6867213,True,0
11,931,2022-09-01_145835_MDCNGB6,0,0,-2.8991935,True,0
12,760,2022-08-30_151622_MDCBGB8,1,1,-3.6920834,True,0
13,683,2022-08-30_144113_MDCBGB2,0,1,-3.6985,False,-1
14,54,2022-07-08_143944_MDCNGB4,0,1,-3.2634287,False,-1
15,476,2022-08-24_145231_MDCNGB1,0,0,-3.2553124,True,0
16,502,2022-08-24_150336_MDCNGB3,0,1,-3.060678,False,-1
17,769,2022-08-30_151804_MDCBGB9,1,1,-3.8681357,True,0
18,481,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
19,690,2022-08-30_144826_MDCBGB3,1,1,-3.6198611,True,0
20,755,2022-08-30_151532_MDCBGB8,0,1,-3.5140207,False,-1
21,57,2022-07-08_144014_MDCNGB4,0,1,-3.56625,False,-1
22,788,2022-08-30_160356_MDCBGB12,1,1,-3.4736364,True,0
23,752,2022-08-30_151458_MDCBGB8,0,1,-3.46056,False,-1
24,687,2022-08-30_144756_MDCBGB3,1,1,-3.7512658,True,0
25,493,2022-08-24_145726_MDCNGB2,0,1,-3.6939654,False,-1
26,61,2022-07-08_144054_MDCNGB4,1,1,-3.418644,True,0
27,867,2022-08-31_145826_MDCSGB7,0,0,-2.4580953,True,0
28,349,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
29,708,2022-08-30_145326_MDCBGB4,0,1,-3.8096924,False,-1
30,88,2022-07-08_145600_MDCNGB6,0,0,-3.0756924,True,0
31,849,2022-08-31_145308_MDCSGB4,0,0,-2.7838094,True,0
32,929,2022-09-01_145815_MDCNGB6,0,0,-2.6977613,True,0
33,510,2022-08-24_150456_MDCNGB3,0,1,-3.07875,False,-1
34,680,2022-08-30_144043_MDCBGB2,1,0,-3.1504917,False,1
35,914,2022-09-01_145101_MDCNGB3,0,0,-2.8296773,True,0
36,928,2022-09-01_145805_MDCNGB6,0,0,-2.7086568,True,0
37,426,2022-08-04_151839_MDCNGB1,1,1,-3.8047059,True,0
38,6,2022-07-08_142502_MDCNGB2,1,1,-3.8255556,True,0
39,487,2022-08-24_145421_MDCNGB1,0,0,-2.9190626,True,0
40,912,2022-09-01_145041_MDCNGB3,0,0,-3.079138,True,0
41,438,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
42,930,2022-09-01_145825_MDCNGB6,0,0,-2.7669842,True,0
43,365,2022-07-27_154606_MDCNGB5,0,0,-3.4865518,True,0
44,90,2022-07-08_145612_MDCNGB6,1,0,-3.0355556,False,1
45,361,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
46,684,2022-08-30_144123_MDCBGB2,0,0,-3.7172222,True,0
47,1,2022-07-08_142412_MDCNGB2,0,0,-3.122909,True,0
48,694,2022-08-30_144906_MDCBGB3,1,1,-3.4704616,True,0
49,926,2022-09-01_145737_MDCNGB5,0,0,-2.8822727,True,0
50,342,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
51,765,2022-08-30_151724_MDCBGB9,0,1,-3.4943283,False,-1
