,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,80,2022-07-08_144832_MDCNGB5,1,1,,True,0
1,16,2022-07-08_142642_MDCNGB2,1,0,,False,1
2,469,2022-08-04_154316_MDCNGB4,1,1,,True,0
3,437,2022-08-04_152305_MDCNGB2,0,1,,False,-1
4,695,2022-08-30_144936_MDCBGB3,0,1,,False,-1
5,103,2022-07-08_145850_MDCNGB6,0,1,,False,-1
6,461,2022-08-04_154156_MDCNGB4,1,1,,True,0
7,449,2022-08-04_153143_MDCNGB3,1,1,,True,0
8,296,2022-07-26_180320_MDCBGB6,1,1,,True,0
9,464,2022-08-04_154226_MDCNGB4,1,1,,True,0
10,113,2022-07-08_150030_MDCNGB6,0,1,,False,-1
11,29,2022-07-08_143219_MDCNGB3,1,1,,True,0
12,263,2022-07-26_174949_MDCBGB3,0,1,,False,-1
13,108,2022-07-08_145940_MDCNGB6,0,0,,True,0
14,271,2022-07-26_175109_MDCBGB3,1,0,,False,1
15,465,2022-08-04_154236_MDCNGB4,1,1,,True,0
16,21,2022-07-08_142732_MDCNGB2,1,1,,True,0
17,292,2022-07-26_180028_MDCBGB5,1,1,,True,0
18,420,2022-08-04_151739_MDCNGB1,0,0,,True,0
19,284,2022-07-26_175907_MDCBGB5,1,1,,True,0
20,421,2022-08-04_151749_MDCNGB1,1,1,,True,0
21,258,2022-07-26_174709_MDCBGB2,1,0,,False,1
22,12,2022-07-08_142602_MDCNGB2,1,1,,True,0
23,86,2022-07-08_144932_MDCNGB5,1,0,,False,1
24,77,2022-07-08_144334_MDCNGB4,1,1,,True,0
