,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,104,2022-07-08_145900_MDCNGB6,1,1,-4.5406895,True,0
1,77,2022-07-08_144334_MDCNGB4,1,1,-4.2313724,True,0
2,16,2022-07-08_142642_MDCNGB2,1,0,-4.7607017,False,1
3,469,2022-08-04_154316_MDCNGB4,1,1,-5.6535,True,0
4,108,2022-07-08_145940_MDCNGB6,0,0,-4.779643,True,0
5,468,2022-08-04_154306_MDCNGB4,1,1,-5.577778,True,0
6,258,2022-07-26_174709_MDCBGB2,1,0,-4.7841935,False,1
7,263,2022-07-26_174949_MDCBGB3,0,1,-4.174138,False,-1
8,292,2022-07-26_180028_MDCBGB5,1,1,-4.787846,True,0
9,473,2022-08-04_154356_MDCNGB4,1,1,-5.591194,True,0
10,46,2022-07-08_143509_MDCNGB3,1,1,-5.466939,True,0
11,81,2022-07-08_144842_MDCNGB5,1,1,-4.5591664,True,0
12,103,2022-07-08_145850_MDCNGB6,0,1,-4.4439654,False,-1
13,420,2022-08-04_151739_MDCNGB1,0,1,-4.2149124,False,-1
14,271,2022-07-26_175109_MDCBGB3,1,0,-4.42193,False,1
15,284,2022-07-26_175907_MDCBGB5,1,1,-4.4214754,True,0
16,437,2022-08-04_152305_MDCNGB2,0,1,-4.1359615,False,-1
17,21,2022-07-08_142732_MDCNGB2,1,1,-5.3582354,True,0
18,29,2022-07-08_143219_MDCNGB3,1,1,-4.120746,True,0
19,12,2022-07-08_142602_MDCNGB2,1,1,-4.3333335,True,0
20,105,2022-07-08_145910_MDCNGB6,1,1,-4.647818,True,0
21,305,2022-07-26_180450_MDCBGB6,0,0,-4.412083,True,0
22,289,2022-07-26_175958_MDCBGB5,1,1,-4.6277943,True,0
