,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,363,2022-07-27_154228_MDCNGB4,0,0,-2.6582813,True,0
1,442,2022-08-04_152355_MDCNGB2,0,1,-3.7739623,False,-1
2,68,2022-07-08_144204_MDCNGB4,0,0,-2.996349,True,0
3,789,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
4,693,2022-08-30_144856_MDCBGB3,1,1,-3.4159017,True,0
5,525,2022-08-24_151016_MDCNGB4,1,0,-2.9883099,False,1
6,255,2022-07-26_174250_MDCBGB1,1,1,-3.8771698,True,0
7,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
8,24,2022-07-08_143129_MDCNGB3,0,0,-3.404697,True,0
9,423,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
10,40,2022-07-08_143409_MDCNGB3,1,1,-5.0019298,True,0
11,751,2022-08-30_151448_MDCBGB8,0,1,-3.3519404,False,-1
12,51,2022-07-08_143914_MDCNGB4,0,0,-2.9694202,True,0
13,23,2022-07-08_143119_MDCNGB3,0,0,-3.1981537,True,0
14,768,2022-08-30_151754_MDCBGB9,0,0,-3.6598334,True,0
15,493,2022-08-24_145726_MDCNGB2,0,0,-3.6939654,True,0
16,459,2022-08-04_153409_MDCNGB3,1,0,-4.9353848,False,1
17,63,2022-07-08_144114_MDCNGB4,0,0,-3.270164,True,0
18,89,2022-07-08_145610_MDCNGB6,0,1,-3.0295455,False,-1
19,676,2022-08-30_143953_MDCBGB2,1,0,-3.0568254,False,1
20,444,2022-08-04_152415_MDCNGB2,1,1,-3.697255,True,0
21,527,2022-08-24_151046_MDCNGB4,1,1,-3.416212,True,0
22,100,2022-07-08_145750_MDCNGB6,1,1,-4.0665383,True,0
23,66,2022-07-08_144144_MDCNGB4,0,0,-3.0615518,True,0
24,105,2022-07-08_145910_MDCNGB6,1,1,-4.647818,True,0
25,91,2022-07-08_145620_MDCNGB6,0,0,-3.0093846,True,0
26,101,2022-07-08_145830_MDCNGB6,1,1,-4.025476,True,0
27,458,2022-08-04_153313_MDCNGB3,0,1,-4.718923,False,-1
28,349,2022-07-27_153808_MDCNGB3,0,0,-2.7348611,True,0
29,88,2022-07-08_145600_MDCNGB6,0,0,-3.0756924,True,0
30,759,2022-08-30_151612_MDCBGB8,1,1,-3.8347945,True,0
31,908,2022-09-01_144524_MDCNGB2,0,0,-3.408644,True,0
32,526,2022-08-24_151036_MDCNGB4,1,0,-3.2934783,False,1
33,267,2022-07-26_175029_MDCBGB3,1,1,-4.27902,True,0
34,435,2022-08-04_152245_MDCNGB2,1,0,-4.308,False,1
35,264,2022-07-26_174959_MDCBGB3,0,1,-4.2673016,False,-1
36,12,2022-07-08_142602_MDCNGB2,1,1,-4.3333335,True,0
37,796,2022-08-30_151914_MDCBGB9,1,1,-3.9915385,True,0
38,414,2022-07-27_164928_MDCSGB3,0,0,-2.8933885,True,0
39,707,2022-08-30_145316_MDCBGB4,0,0,-3.852456,True,0
40,342,2022-07-27_153658_MDCNGB3,0,0,-2.6075757,True,0
41,280,2022-07-26_175632_MDCBGB4,1,0,-2.996923,False,1
42,462,2022-08-04_154206_MDCNGB4,1,1,-5.614068,True,0
43,853,2022-08-31_145401_MDCSGB5,0,0,-2.4751563,True,0
44,447,2022-08-04_152445_MDCNGB2,1,1,-3.7361016,True,0
45,790,2022-08-30_160416_MDCBGB12,0,1,-3.4666667,False,-1
46,61,2022-07-08_144054_MDCNGB4,1,1,-3.418644,True,0
47,361,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
48,258,2022-07-26_174709_MDCBGB2,1,1,-4.7841935,True,0
49,62,2022-07-08_144104_MDCNGB4,0,1,-3.3761017,False,-1
50,480,2022-08-24_145311_MDCNGB1,0,0,-3.1821876,True,0
51,356,2022-07-27_154111_MDCNGB4,0,0,-2.6942105,True,0
52,59,2022-07-08_144034_MDCNGB4,0,0,-3.6542373,True,0
53,10,2022-07-08_142542_MDCNGB2,1,0,-4.2627587,False,1
54,669,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
55,866,2022-08-31_145816_MDCSGB7,0,0,-2.5182352,True,0
56,367,2022-07-27_154626_MDCNGB5,0,0,-3.464737,True,0
57,490,2022-08-24_145656_MDCNGB2,0,0,-3.4682143,True,0
58,699,2022-08-30_145156_MDCBGB4,0,1,-3.9533963,False,-1
59,696,2022-08-30_145126_MDCBGB4,0,1,-3.894348,False,-1
60,39,2022-07-08_143359_MDCNGB3,1,1,-4.938906,True,0
61,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
62,690,2022-08-30_144826_MDCBGB3,1,1,-3.6198611,True,0
63,449,2022-08-04_153143_MDCNGB3,1,1,-4.6236486,True,0
64,438,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
65,855,2022-08-31_145421_MDCSGB5,0,0,-2.296613,True,0
66,417,2022-07-27_164958_MDCSGB3,0,0,-3.0222974,True,0
67,681,2022-08-30_144053_MDCBGB2,0,0,-3.2711864,True,0
68,749,2022-08-30_151428_MDCBGB8,1,0,-3.3012328,False,1
69,691,2022-08-30_144836_MDCBGB3,1,0,-3.6153085,False,1
70,287,2022-07-26_175938_MDCBGB5,1,1,-4.624219,True,0
71,457,2022-08-04_153303_MDCNGB3,1,1,-4.677353,True,0
72,46,2022-07-08_143509_MDCNGB3,1,1,-5.466939,True,0
73,917,2022-09-01_145131_MDCNGB4,0,0,-2.7768853,True,0
74,109,2022-07-08_145950_MDCNGB6,0,0,-4.715965,True,0
75,411,2022-07-27_164858_MDCSGB3,0,0,-2.8268116,True,0
76,475,2022-08-04_154655_MDCNGB5,0,1,-5.140704,False,-1
