,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,90,2022-07-08_145612_MDCNGB6,1,0,-3.0355556,False,1
1,448,2022-08-04_152455_MDCNGB2,1,1,-3.6474576,True,0
2,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
3,420,2022-08-04_151739_MDCNGB1,0,0,-4.2149124,True,0
4,775,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
5,484,2022-08-24_145351_MDCNGB1,0,0,-2.9848387,True,0
6,47,2022-07-08_143519_MDCNGB3,1,1,-5.725294,True,0
7,60,2022-07-08_144044_MDCNGB4,1,0,-3.5485485,False,1
8,361,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
9,527,2022-08-24_151046_MDCNGB4,1,1,-3.416212,True,0
10,768,2022-08-30_151754_MDCBGB9,0,1,-3.6598334,False,-1
11,688,2022-08-30_144806_MDCBGB3,1,0,-3.7037663,False,1
12,292,2022-07-26_180028_MDCBGB5,1,1,-4.787846,True,0
13,463,2022-08-04_154216_MDCNGB4,1,1,-5.645085,True,0
14,908,2022-09-01_144524_MDCNGB2,0,1,-3.408644,False,-1
15,55,2022-07-08_143954_MDCNGB4,0,0,-3.4301667,True,0
16,57,2022-07-08_144014_MDCNGB4,0,0,-3.56625,True,0
17,452,2022-08-04_153213_MDCNGB3,0,1,-4.664154,False,-1
18,54,2022-07-08_143944_MDCNGB4,0,0,-3.2634287,True,0
19,89,2022-07-08_145610_MDCNGB6,0,1,-3.0295455,False,-1
20,789,2022-08-30_160406_MDCBGB12,1,0,-3.4922807,False,1
21,11,2022-07-08_142552_MDCNGB2,1,1,-4.315238,True,0
22,704,2022-08-30_145246_MDCBGB4,0,0,-3.8837037,True,0
23,290,2022-07-26_180008_MDCBGB5,1,1,-4.685424,True,0
24,108,2022-07-08_145940_MDCNGB6,0,1,-4.779643,False,-1
25,40,2022-07-08_143409_MDCNGB3,1,1,-5.0019298,True,0
26,927,2022-09-01_145747_MDCNGB5,0,0,-2.7848437,True,0
27,690,2022-08-30_144826_MDCBGB3,1,1,-3.6198611,True,0
28,309,2022-07-26_180530_MDCBGB6,0,1,-4.7145452,False,-1
29,928,2022-09-01_145805_MDCNGB6,0,0,-2.7086568,True,0
30,483,2022-08-24_145341_MDCNGB1,0,0,-3.0293102,True,0
31,96,2022-07-08_145710_MDCNGB6,1,1,-3.8341668,True,0
32,375,2022-07-27_154758_MDCNGB5,0,0,-2.9955225,True,0
33,102,2022-07-08_145840_MDCNGB6,1,1,-4.251091,True,0
34,767,2022-08-30_151744_MDCBGB9,1,0,-3.518923,False,1
35,670,2022-08-30_143643_MDCBGB1,0,1,-3.3937705,False,-1
36,438,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
37,915,2022-09-01_145111_MDCNGB3,0,0,-2.7346032,True,0
38,23,2022-07-08_143119_MDCNGB3,0,0,-3.1981537,True,0
39,764,2022-08-30_151714_MDCBGB9,1,1,-3.638182,True,0
40,256,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
41,78,2022-07-08_144344_MDCNGB4,1,1,-4.2417545,True,0
42,88,2022-07-08_145600_MDCNGB6,0,0,-3.0756924,True,0
43,753,2022-08-30_151512_MDCBGB8,0,0,-3.5304818,True,0
44,451,2022-08-04_153203_MDCNGB3,0,1,-4.64,False,-1
45,468,2022-08-04_154306_MDCNGB4,1,1,-5.577778,True,0
46,41,2022-07-08_143419_MDCNGB3,0,1,-5.118889,False,-1
47,264,2022-07-26_174959_MDCBGB3,0,1,-4.2673016,False,-1
48,436,2022-08-04_152255_MDCNGB2,1,1,-4.165,True,0
49,700,2022-08-30_145206_MDCBGB4,0,0,-3.7527273,True,0
50,266,2022-07-26_175019_MDCBGB3,1,1,-4.2328844,True,0
51,369,2022-07-27_154646_MDCNGB5,0,0,-3.4439344,True,0
52,26,2022-07-08_143149_MDCNGB3,1,1,-3.5904055,True,0
53,756,2022-08-30_151542_MDCBGB8,0,1,-3.7061038,False,-1
54,423,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
55,699,2022-08-30_145156_MDCBGB4,0,0,-3.9533963,True,0
56,481,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
57,2,2022-07-08_142422_MDCNGB2,1,1,-3.3533332,True,0
58,269,2022-07-26_175049_MDCBGB3,1,1,-4.4368253,True,0
59,755,2022-08-30_151532_MDCBGB8,0,1,-3.5140207,False,-1
60,794,2022-08-30_160456_MDCBGB12,1,1,-3.604375,True,0
61,786,2022-08-30_160336_MDCBGB12,1,0,-3.2858462,False,1
62,494,2022-08-24_145736_MDCNGB2,0,0,-3.7266667,True,0
63,773,2022-08-30_151844_MDCBGB9,1,1,-3.904375,True,0
64,79,2022-07-08_144354_MDCNGB4,1,1,-4.318448,True,0
65,435,2022-08-04_152245_MDCNGB2,1,0,-4.308,False,1
