,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,245,2022-08-04_152445_MDCNGB2,1,0,,False,1
1,436,2022-08-31_145836_MDCSGB7,0,0,,True,0
2,247,2022-08-04_153143_MDCNGB3,1,0,,False,1
3,101,2022-07-08_145830_MDCNGB6,1,1,,True,0
4,334,2022-08-30_143953_MDCBGB2,1,0,,False,1
5,351,2022-08-30_144856_MDCBGB3,1,1,,True,0
6,364,2022-08-30_145306_MDCBGB4,0,0,,True,0
7,419,2022-08-31_145328_MDCSGB4,0,0,,True,0
8,466,2022-09-01_144544_MDCNGB2,0,0,,True,0
9,349,2022-08-30_144836_MDCBGB3,1,1,,True,0
10,252,2022-08-04_153233_MDCNGB3,0,1,,False,-1
11,280,2022-08-24_145331_MDCNGB1,0,0,,True,0
12,65,2022-07-08_144134_MDCNGB4,0,0,,True,0
13,232,2022-08-04_152235_MDCNGB2,1,1,,True,0
14,377,2022-08-30_151612_MDCBGB8,1,1,,True,0
15,123,2022-07-26_174949_MDCBGB3,0,1,,False,-1
16,242,2022-08-04_152415_MDCNGB2,1,1,,True,0
17,100,2022-07-08_145750_MDCNGB6,1,1,,True,0
18,286,2022-08-24_145431_MDCNGB1,0,0,,True,0
19,197,2022-07-27_154606_MDCNGB5,0,0,,True,0
20,140,2022-07-26_175632_MDCBGB4,1,0,,False,1
21,10,2022-07-08_142542_MDCNGB2,1,1,,True,0
22,365,2022-08-30_145316_MDCBGB4,0,0,,True,0
23,357,2022-08-30_145156_MDCBGB4,0,0,,True,0
24,12,2022-07-08_142602_MDCNGB2,1,1,,True,0
25,253,2022-08-04_153243_MDCNGB3,0,1,,False,-1
26,118,2022-07-26_174709_MDCBGB2,1,0,,False,1
27,363,2022-08-30_145256_MDCBGB4,0,0,,True,0
28,450,2022-08-31_150638_MDCSGB11,0,0,,True,0
29,39,2022-07-08_143359_MDCNGB3,1,1,,True,0
30,257,2022-08-04_153409_MDCNGB3,1,1,,True,0
31,127,2022-07-26_175029_MDCBGB3,1,1,,True,0
32,384,2022-08-30_151734_MDCBGB9,0,1,,False,-1
33,397,2022-08-30_160406_MDCBGB12,1,1,,True,0
34,207,2022-07-27_154758_MDCNGB5,0,0,,True,0
35,40,2022-07-08_143409_MDCNGB3,1,0,,False,1
36,46,2022-07-08_143509_MDCNGB3,1,1,,True,0
37,175,2022-07-27_153708_MDCNGB3,0,0,,True,0
38,51,2022-07-08_143914_MDCNGB4,0,0,,True,0
39,66,2022-07-08_144144_MDCNGB4,0,1,,False,-1
40,88,2022-07-08_145600_MDCNGB6,0,1,,False,-1
41,221,2022-08-04_151809_MDCNGB1,1,1,,True,0
42,146,2022-07-26_175928_MDCBGB5,1,1,,True,0
43,458,2022-09-01_144317_MDCNGB1,0,0,,True,0
44,93,2022-07-08_145640_MDCNGB6,0,0,,True,0
45,276,2022-08-24_145251_MDCNGB1,0,0,,True,0
46,48,2022-07-08_143844_MDCNGB4,0,0,,True,0
47,233,2022-08-04_152245_MDCNGB2,1,1,,True,0
48,266,2022-08-04_154306_MDCNGB4,1,1,,True,0
49,115,2022-07-26_174250_MDCBGB1,1,1,,True,0
50,404,2022-08-30_151914_MDCBGB9,1,1,,True,0
51,348,2022-08-30_144826_MDCBGB3,1,1,,True,0
52,290,2022-08-24_145716_MDCNGB2,0,0,,True,0
53,56,2022-07-08_144004_MDCNGB4,0,0,,True,0
54,479,2022-09-01_145707_MDCNGB5,0,0,,True,0
55,174,2022-07-27_153658_MDCNGB3,0,0,,True,0
56,434,2022-08-31_145816_MDCSGB7,0,0,,True,0
57,194,2022-07-27_154218_MDCNGB4,0,0,,True,0
58,255,2022-08-04_153303_MDCNGB3,1,1,,True,0
59,340,2022-08-30_144103_MDCBGB2,0,1,,False,-1
60,61,2022-07-08_144054_MDCNGB4,1,0,,False,1
61,272,2022-08-04_154645_MDCNGB5,0,0,,True,0
62,154,2022-07-26_180048_MDCBGB5,1,1,,True,0
63,383,2022-08-30_151724_MDCBGB9,0,1,,False,-1
64,213,2022-07-27_164938_MDCSGB3,0,0,,True,0
65,68,2022-07-08_144204_MDCNGB4,0,0,,True,0
66,83,2022-07-08_144902_MDCNGB5,1,1,,True,0
67,64,2022-07-08_144124_MDCNGB4,0,0,,True,0
68,209,2022-07-27_164858_MDCSGB3,0,0,,True,0
69,181,2022-07-27_153808_MDCNGB3,0,0,,True,0
70,469,2022-09-01_145051_MDCNGB3,0,0,,True,0
71,214,2022-07-27_164948_MDCSGB3,1,0,,False,1
72,7,2022-07-08_142512_MDCNGB2,0,1,,False,-1
73,358,2022-08-30_145206_MDCBGB4,0,0,,True,0
74,398,2022-08-30_160416_MDCBGB12,0,0,,True,0
