,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,113,2022-07-08_150030_MDCNGB6,0,1,-5.284333,False,-1
1,111,2022-07-08_150010_MDCNGB6,0,0,-4.990893,True,0
2,4,2022-07-08_142442_MDCNGB2,1,0,-3.7317543,False,1
3,470,2022-09-01_145101_MDCNGB3,0,0,-2.8296773,True,0
4,132,2022-07-26_175512_MDCBGB4,0,1,-3.013182,False,-1
5,20,2022-07-08_142722_MDCNGB2,1,0,-5.1478434,False,1
6,394,2022-08-30_160336_MDCBGB12,1,1,-3.2858462,True,0
7,233,2022-08-04_152245_MDCNGB2,1,1,-4.308,True,0
8,236,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
9,229,2022-08-04_151929_MDCNGB1,0,0,-3.6552632,True,0
10,234,2022-08-04_152255_MDCNGB2,1,1,-4.165,True,0
11,339,2022-08-30_144053_MDCBGB2,0,0,-3.2711864,True,0
12,371,2022-08-30_151512_MDCBGB8,0,1,-3.5304818,False,-1
13,280,2022-08-24_145331_MDCNGB1,0,0,-3.0635386,True,0
14,191,2022-07-27_154141_MDCNGB4,0,0,-2.6616666,True,0
15,232,2022-08-04_152235_MDCNGB2,1,1,-4.309608,True,0
16,116,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
17,265,2022-08-04_154256_MDCNGB4,1,1,-5.57,True,0
18,263,2022-08-04_154236_MDCNGB4,1,1,-5.5833335,True,0
19,10,2022-07-08_142542_MDCNGB2,1,1,-4.2627587,True,0
20,7,2022-07-08_142512_MDCNGB2,0,1,-3.883617,False,-1
21,23,2022-07-08_143119_MDCNGB3,0,0,-3.1981537,True,0
22,59,2022-07-08_144034_MDCNGB4,0,1,-3.6542373,False,-1
23,207,2022-07-27_154758_MDCNGB5,0,0,-2.9955225,True,0
24,87,2022-07-08_144942_MDCNGB5,1,1,-5.346508,True,0
25,291,2022-08-24_145726_MDCNGB2,0,1,-3.6939654,False,-1
26,348,2022-08-30_144826_MDCBGB3,1,1,-3.6198611,True,0
27,78,2022-07-08_144344_MDCNGB4,1,1,-4.2417545,True,0
28,393,2022-08-30_151904_MDCBGB9,1,1,-3.9303923,True,0
29,90,2022-07-08_145612_MDCNGB6,1,0,-3.0355556,False,1
30,343,2022-08-30_144736_MDCBGB3,0,1,-4.0528226,False,-1
31,252,2022-08-04_153233_MDCNGB3,0,1,-4.614872,False,-1
32,333,2022-08-30_143943_MDCBGB2,0,0,-3.0463493,True,0
33,346,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
34,385,2022-08-30_151744_MDCBGB9,1,0,-3.518923,False,1
35,221,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
36,65,2022-07-08_144134_MDCNGB4,0,0,-3.164375,True,0
37,11,2022-07-08_142552_MDCNGB2,1,1,-4.315238,True,0
38,373,2022-08-30_151532_MDCBGB8,0,1,-3.5140207,False,-1
39,195,2022-07-27_154228_MDCNGB4,0,0,-2.6582813,True,0
40,102,2022-07-08_145840_MDCNGB6,1,1,-4.251091,True,0
41,24,2022-07-08_143129_MDCNGB3,0,1,-3.404697,False,-1
42,126,2022-07-26_175019_MDCBGB3,1,1,-4.2328844,True,0
43,166,2022-07-26_180500_MDCBGB6,1,0,-4.435745,False,1
44,40,2022-07-08_143409_MDCNGB3,1,1,-5.0019298,True,0
45,96,2022-07-08_145710_MDCNGB6,1,0,-3.8341668,False,1
46,79,2022-07-08_144354_MDCNGB4,1,1,-4.318448,True,0
47,2,2022-07-08_142422_MDCNGB2,1,1,-3.3533332,True,0
48,387,2022-08-30_151804_MDCBGB9,1,0,-3.8681357,False,1
49,479,2022-09-01_145707_MDCNGB5,0,0,-3.1565573,True,0
50,383,2022-08-30_151724_MDCBGB9,0,0,-3.4943283,True,0
51,382,2022-08-30_151714_MDCBGB9,1,1,-3.638182,True,0
52,169,2022-07-26_180530_MDCBGB6,0,1,-4.7145452,False,-1
53,290,2022-08-24_145716_MDCNGB2,0,0,-3.6236668,True,0
54,235,2022-08-04_152305_MDCNGB2,0,1,-4.1359615,False,-1
55,341,2022-08-30_144113_MDCBGB2,0,0,-3.6985,True,0
56,277,2022-08-24_145301_MDCNGB1,0,0,-3.2039344,True,0
57,260,2022-08-04_154206_MDCNGB4,1,1,-5.614068,True,0
58,151,2022-07-26_180018_MDCBGB5,1,1,-4.689254,True,0
59,287,2022-08-24_145441_MDCNGB1,0,0,-2.9015872,True,0
60,370,2022-08-30_151458_MDCBGB8,0,1,-3.46056,False,-1
61,248,2022-08-04_153153_MDCNGB3,0,1,-4.604268,False,-1
62,397,2022-08-30_160406_MDCBGB12,1,1,-3.4922807,True,0
63,293,2022-08-24_145746_MDCNGB2,0,0,-3.7636666,True,0
