,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,491,2022-08-24_145706_MDCNGB2,1,1,-3.579672,True,0
1,308,2022-07-26_180520_MDCBGB6,1,1,-4.6736584,True,0
2,708,2022-08-30_145326_MDCBGB4,1,1,-3.8096924,True,0
3,858,2022-08-31_145649_MDCSGB6,1,1,-2.7726786,True,0
4,300,2022-07-26_180400_MDCBGB6,1,1,-4.0745616,True,0
5,910,2022-09-01_144544_MDCNGB2,1,1,-3.1494737,True,0
6,263,2022-07-26_174949_MDCBGB3,1,1,-4.174138,True,0
7,968,Bare35,0,0,-3.405397,True,0
8,673,2022-08-30_143923_MDCBGB2,1,1,-3.0864913,True,0
9,526,2022-08-24_151036_MDCNGB4,1,1,-3.2934783,True,0
10,427,2022-08-04_151849_MDCNGB1,1,1,-3.6605172,True,0
11,91,2022-07-08_145620_MDCNGB6,1,1,-3.0093846,True,0
12,61,2022-07-08_144054_MDCNGB4,1,1,-3.418644,True,0
13,792,2022-08-30_160436_MDCBGB12,1,1,-3.439077,True,0
14,106,2022-07-08_145920_MDCNGB6,1,1,-4.749057,True,0
15,45,2022-07-08_143459_MDCNGB3,1,1,-5.3848386,True,0
16,11,2022-07-08_142552_MDCNGB2,1,1,-4.315238,True,0
17,772,2022-08-30_151834_MDCBGB9,1,1,-3.8391228,True,0
18,35,2022-07-08_143319_MDCNGB3,1,1,-4.542029,True,0
19,675,2022-08-30_143943_MDCBGB2,1,1,-3.0463493,True,0
20,467,2022-08-04_154256_MDCNGB4,1,1,-5.57,True,0
21,376,2022-07-27_154808_MDCNGB5,1,0,-2.9363935,False,1
22,870,2022-08-31_150043_MDCSGB8,0,0,-3.706212,True,0
23,865,2022-08-31_145806_MDCSGB7,1,1,-2.5554385,True,0
24,500,2022-08-24_145836_MDCNGB2,1,1,-3.978889,True,0
25,26,2022-07-08_143149_MDCNGB3,1,1,-3.5904055,True,0
26,760,2022-08-30_151622_MDCBGB8,1,1,-3.6920834,True,0
27,69,2022-07-08_144214_MDCNGB4,1,1,-3.0549254,True,0
28,436,2022-08-04_152255_MDCNGB2,1,1,-4.165,True,0
29,302,2022-07-26_180420_MDCBGB6,1,1,-4.152549,True,0
30,469,2022-08-04_154316_MDCNGB4,1,1,-5.6535,True,0
31,47,2022-07-08_143519_MDCNGB3,1,1,-5.725294,True,0
32,696,2022-08-30_145126_MDCBGB4,1,1,-3.894348,True,0
33,440,2022-08-04_152335_MDCNGB2,1,1,-3.9810715,True,0
34,684,2022-08-30_144123_MDCBGB2,1,1,-3.7172222,True,0
35,347,2022-07-27_153748_MDCNGB3,1,0,-2.732125,False,1
36,351,2022-07-27_154021_MDCNGB4,1,1,-2.6867213,True,0
37,692,2022-08-30_144846_MDCBGB3,1,1,-3.5121212,True,0
38,369,2022-07-27_154646_MDCNGB5,1,1,-3.4439344,True,0
39,915,2022-09-01_145111_MDCNGB3,1,1,-2.7346032,True,0
40,919,2022-09-01_145151_MDCNGB4,1,1,-3.1016667,True,0
41,14,2022-07-08_142622_MDCNGB2,1,1,-4.67125,True,0
42,24,2022-07-08_143129_MDCNGB3,1,1,-3.404697,True,0
43,463,2022-08-04_154216_MDCNGB4,1,1,-5.645085,True,0
44,111,2022-07-08_150010_MDCNGB6,1,1,-4.990893,True,0
45,839,2022-08-31_144836_MDCSGB2,0,0,-3.727121,True,0
46,468,2022-08-04_154306_MDCNGB4,1,1,-5.577778,True,0
47,757,2022-08-30_151552_MDCBGB8,1,1,-3.7164445,True,0
48,110,2022-07-08_150000_MDCNGB6,1,1,-4.888163,True,0
49,948,Bare15,0,0,-2.876111,True,0
50,496,2022-08-24_145756_MDCNGB2,1,1,-3.7568853,True,0
51,955,Bare22,0,0,-3.0384,True,0
52,969,Bare36,0,0,-3.6748486,True,0
53,981,Bare48,0,0,-4.1219716,True,0
54,977,Bare44,0,0,-4.0680647,True,0
55,695,2022-08-30_144936_MDCBGB3,1,1,-4.0434,True,0
56,921,2022-09-01_145211_MDCNGB4,0,0,-3.393492,True,0
57,46,2022-07-08_143509_MDCNGB3,1,1,-5.466939,True,0
58,461,2022-08-04_154156_MDCNGB4,1,1,-5.579516,True,0
59,951,Bare18,0,0,-3.52475,True,0
60,27,2022-07-08_143159_MDCNGB3,1,1,-3.5565383,True,0
61,903,2022-09-01_144327_MDCNGB1,1,1,-3.1496825,True,0
62,36,2022-07-08_143329_MDCNGB3,1,1,-4.615714,True,0
63,954,Bare21,0,0,-3.6592104,True,0
64,421,2022-08-04_151749_MDCNGB1,1,1,-4.1364408,True,0
65,849,2022-08-31_145308_MDCSGB4,1,1,-2.7838094,True,0
66,979,Bare46,0,0,-2.8198683,True,0
67,297,2022-07-26_180330_MDCBGB6,1,1,-3.9887097,True,0
68,272,2022-07-26_175512_MDCBGB4,1,1,-3.013182,True,0
69,703,2022-08-30_145236_MDCBGB4,1,1,-3.8038983,True,0
70,435,2022-08-04_152245_MDCNGB2,1,1,-4.308,True,0
71,280,2022-07-26_175632_MDCBGB4,1,1,-2.996923,True,0
72,52,2022-07-08_143924_MDCNGB4,1,1,-3.0252173,True,0
73,992,Bare59,0,0,-3.1375325,True,0
74,284,2022-07-26_175907_MDCBGB5,1,1,-4.4214754,True,0
75,769,2022-08-30_151804_MDCBGB9,1,1,-3.8681357,True,0
76,510,2022-08-24_150456_MDCNGB3,0,1,-3.07875,False,-1
77,305,2022-07-26_180450_MDCBGB6,1,1,-4.412083,True,0
78,788,2022-08-30_160356_MDCBGB12,1,1,-3.4736364,True,0
79,908,2022-09-01_144524_MDCNGB2,1,1,-3.408644,True,0
80,85,2022-07-08_144922_MDCNGB5,1,0,-5.129231,False,1
81,70,2022-07-08_144224_MDCNGB4,1,0,-3.1104918,False,1
82,911,2022-09-01_145031_MDCNGB3,1,1,-3.0730357,True,0
83,950,Bare17,0,0,-3.5040195,True,0
84,985,Bare52,0,0,-3.5209877,True,0
85,88,2022-07-08_145600_MDCNGB6,1,1,-3.0756924,True,0
86,419,2022-07-27_165018_MDCSGB3,1,1,-2.9566154,True,0
87,366,2022-07-27_154616_MDCNGB5,1,1,-3.4883332,True,0
88,94,2022-07-08_145650_MDCNGB6,1,1,-3.1896365,True,0
89,254,2022-07-26_174240_MDCBGB1,1,1,-3.9703279,True,0
90,688,2022-08-30_144806_MDCBGB3,1,1,-3.7037663,True,0
91,961,Bare28,0,0,-1.872353,True,0
92,256,2022-07-26_174300_MDCBGB1,1,1,-3.7625425,True,0
93,477,2022-08-24_145241_MDCNGB1,1,1,-3.2371874,True,0
94,101,2022-07-08_145830_MDCNGB6,1,1,-4.025476,True,0
